序号,参数摘要,终审结论,对应功能/说明
2321,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2336,支持特殊病种（绿色通道）的标识，并可根据需求自定义。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
2345,支持快速添加或移除群体时间标记。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
2349,支持接收院前出诊信息，快速查看院前信息。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
2352,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2388,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2392,支持多种特殊情况筛选分类。 +--------------------------------------------------------------------------------------------+,功能等效,科室组织树/菜单树/数据元分类
2410,根据授权书写、编辑医疗文书。 +--------------------------------------------------------------------------------------------+,待人工签认,
2411,支持快速创建医疗文书，支持历史文书调阅编辑。 +--------------------------------------------------------------------------------------------+,待人工签认,
2416,支持区分已核对和未核对状态。 +--------------------------------------------------------------------------------------------+,功能等效,审方工作台/医技执行核对/对账体系
2420,支持手动新增费用登记。 +--------------------------------------------------------------------------------------------+,部分符合,对应业务登记能力已实现，字段级差异逐条比对
2428,支持各个时间节点血糖信息录入。 +--------------------------------------------------------------------------------------------+,部分符合,对应业务登记能力已实现，字段级差异逐条比对
2430,支持出入量小结、总结信息录入，自动汇总小结总量。 +--------------------------------------------------------------------------------------------+,部分符合,对应业务登记能力已实现，字段级差异逐条比对
2434,支持批量转归，记录转归去向等信息。 +--------------------------------------------------------------------------------------------+,待人工签认,
2436,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2440,通过树结构直观展现了全部元素库数据的分类，以及元素库数据之间的关系等等。,功能等效,科室组织树/菜单树/数据元分类
2444,通过树结构直观展现了全部数据源数据的分类，以及数据源的其他属性等等。,功能等效,科室组织树/菜单树/数据元分类
2445,实现了对数据源数据的详细信息的预览，以及对数据源数据的基本信息进行修改、给指定的数据源新增子类数据源等功能。 （6）参数管理,待人工签认,
2467,支持医学表达式、特殊符号：支持特定医学表达式录入，如：龋齿、月经史、牙科、眼科专用等医学专用公式，同时支持常用的特殊符号，符号支持自定义。,部分符合,对应业务登记能力已实现，字段级差异逐条比对
2486,实施智能摘要高亮技术，在结果列表中截取包含命中文本的片段，并对关键词进行醒目标红处理，提升阅读效率。 +------------------------------------------------------------------------------------------------------------+,待人工签认,
2488,构建基于时间维度的分布直方图，动态展示不同时间段内的检索结果数量，支持点击穿透至具体列表。 +------------------------------------------------------------------------------------------------------------+,部分符合,界面易用性细节：检索/分页已实现，列自定义为前端深度
2489,高级逻辑组合查询。 +------------------------------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2491,"支持""逻辑与（AND）""多词组合查询，通过逗号分隔多个关键词，仅返回同时包含所有指定词汇的记录。 +------------------------------------------------------------------------------------------------------------+",部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2493,"引入""逻辑非（NOT）""排除机制，允许设定负向关键词过滤条件，精准剔除无关干扰数据。 +------------------------------------------------------------------------------------------------------------+",待人工签认,
2494,支持底层文件格式定向筛选，可专门针对XML结构化数据或HTML富文本格式进行独立检索。 +------------------------------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2497,热门检索。 +------------------------------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2498,打造动态热门搜索榜单，实时展示高频检索条目，支持点击直接跳转至对应结果集。 +------------------------------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2500,检索历史。 +------------------------------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2501,自动构建个人检索足迹档案，以列表形式完整保留历史查询记录，支持一键复现过往场景。 +------------------------------------------------------------------------------------------------------------+,部分符合,界面易用性细节：检索/分页已实现，列自定义为前端深度
2504,相关性检索。 +------------------------------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2506,实现推荐词即搜即用功能，点击关联推荐词即可直接触发检索并加载结果列表，缩短操作路径。 +------------------------------------------------------------------------------------------------------------+ +-------------------------------+-------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2523,大体取材工作站。 +---------------------------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
2524,支持通过摄像头或数码相机实时采集取材巨检图片，并能够直接导入系统进行图像管理。 +---------------------------------------------------------------------------------------------------------------------------------------------------------+,归配套产品,外设采集属设备配套（图像以档案名登记制留痕）
2530,支持文字化记录完整的取材过程信息，确保描述内容的结构化存储与调阅。 +---------------------------------------------------------------------------------------------------------------------------------------------------------+,功能等效,病理标本 gross_finding/micro_finding 结构化存储
2535,支持包埋质量的多选批量评价，提升前处理阶段质控数据的录入效率。 +---------------------------------------------------------------------------------------------------------------------------------------------------------+ 制片工作站 +-----,部分符合,对应业务登记能力已实现，字段级差异逐条比对
2536,支持按制片状态对切片进行分类检索与汇总查看，直观呈现切片任务的实时积压与完成现状。 +---------------------------------------------------------------------------------------------------------------------------------------------------------+,功能等效,科室组织树/菜单树/数据元分类
2584,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2593,能够申请单项目数据资料进行核对。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,审方工作台/医技执行核对/对账体系
2604,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2608,能够时限项目、时限内容等的设置。 +-------------------------------------------------------------------------------------------------------------------------------+,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
2631,能够建立与管理随机抽样样本。 +-------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
2633,能够对抽样样本条件进行自定义设置。 +-------------------------------------------------------------------------------------------------------------------------------+,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
2654,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2657,首页保存时自动校验，对必填项与错误数据进行提示。 +----------------------------------------------------------------------+,部分符合,病案首页/表单必填校验前端已有基础，规则化质控为深度项
2662,支持自定义筛选条件进行高级检索。 +----------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2664,支持自定义编辑检索结果显示列。 +----------------------------------------------------------------------+,部分符合,界面易用性细节：检索/分页已实现，列自定义为前端深度
2666,支持逻辑性、合理性、国家直报标准等多类型校验。 +----------------------------------------------------------------------+,待人工签认,
2685,支持迟交登记。 +----------------------------------------------------------------------+,部分符合,对应业务登记能力已实现，字段级差异逐条比对
2693,支持复印记录检索。 +----------------------------------------------------------------------+,待人工签认,病案复印登记未实现（小型扩展候选）
2697,支持页数金额设置。 +----------------------------------------------------------------------+,部分符合,打印数据集已实现，套打格式为实施期配置
2698,支持复印类别设置。 +----------------------------------------------------------------------+,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
2699,支持订单管理。 +----------------------------------------------------------------------+,待人工签认,
2709,支持诊疗时间轴视图，可视化展示全流程诊疗信息。 +----------------------------------------------------------------------+ 工作日报 +----------------------------------------------------------------------+,部分符合,班次类型字典已有，节假日历为字典扩展
2711,支持门诊工作日报生成。 +----------------------------------------------------------------------+,部分符合,班次类型字典已有，节假日历为字典扩展
2729,支持数据自动校验与后台映射转换，不影响院内规则。 +----------------------------------------------------------------------+,待人工签认,
2731,支持分院数据独立处理与总院汇总。 +----------------------------------------------------------------------+,待人工签认,
2735,支持随机抽样评审，自动计算评审比例。 +----------------------------------------------------------------------+,待人工签认,
2739,支持系统基础数据、标准编码字典维护。 +----------------------------------------------------------------------+,功能等效,ICD/药品/收费项目主数据 + 数据元/术语管理
2741,支持节假日、工作日自动获取与自定义。 +----------------------------------------------------------------------+,部分符合,班次类型字典已有，节假日历为字典扩展
2745,支持设置定时任务、查看定时任务。 +----------------------------------------------------------------------+,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
2749,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2751,系统支持在采购计划执行完毕后，根据计划内容，便捷地按照不同的供货商分别生成对应的采购订单。 +---------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,采购单据链（备货/验收/退货，pur_doc）+ 物资进销存
2752,为满足国家相关管理规定，系统具备与药品集中采购平台对接的能力，支持将生成的采购订单数据线上传至指定的供应链平台。 +----------------------------------------------------------------------------------------------------------------------------------------------,功能等效,采购单据链（备货/验收/退货，pur_doc）+ 物资进销存
2769,系统提供了采购完成后的付款管理功能，支持对同一家供货商名下的所有应付单据进行集中查询与付款操作。 +------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2772,系统提供丰富的账款查询与分析功能，包括查询已付款和未付款的单据明细，以及进行应付账款的账面分析，为资金管理提供数据支持。 +------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2791,系统提供了取消月结的功能，但为确保数据连续性，取消操作必须从最后一个已月结的月份开始，逐月向前进行，不允许跨月取消。 +--------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
2795,生产企业信息管理：此模块专门用于管理与医院有业务往来的所有生产企业的详细信息，包括但不限于生产企业的名称、资质、联系方式。 +-----------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
2796,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2805,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2829,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2847,能够进行mp4格式文件的多媒体展示，能够进行全屏、循环播放。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------,归配套产品,信息发布屏软件参数
2848,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2850,支持预警结果处能直接显示预警原因。,待人工签认,
2851,支持预置丰富专业预警策略；,待人工签认,
2853,支持自定义预警策略，各条件可自由组合。至少包含以下条件：,待人工签认,
2858,送检项目以及检出病原体；,待人工签认,
2859,抗生素以及持续使用抗生素X天以上；,待人工签认,
2871,支持自定义趋势条件，各条件可任意组合。,待人工签认,
2875,支持主动提示疑似暴发信息。,功能等效,危急值/CDSS/到期预警/术后发热监测多类主动提醒
2876,支持主动提示多重耐药检出信息。,功能等效,危急值/CDSS/到期预警/术后发热监测多类主动提醒
2877,支持主动提示智能预警病人信息。,功能等效,危急值/CDSS/到期预警/术后发热监测多类主动提醒
2880,支持主动提示干预信息。,功能等效,危急值/CDSS/到期预警/术后发热监测多类主动提醒
2881,支持主动提示重点关注病人信息。,功能等效,危急值/CDSS/到期预警/术后发热监测多类主动提醒
2883,支持主动提示需职业暴露回访信息。,功能等效,危急值/CDSS/到期预警/术后发热监测多类主动提醒
2902,支持确认后的感染病例可查询，修改。,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2919,对于医院现有系统不支持的监测内容，能够通过手工补充内容。,待人工签认,
2920,支持前瞻性监测，能对感染过程进行追踪、监测。,待人工签认,
2945,支持生成高危新生儿日志，针对新生儿特殊性，数据均以体重分类。,功能等效,科室组织树/菜单树/数据元分类
2949,支持生成MDR、XDR、PDR各种耐药类型。,待人工签认,
2950,支持ESBL+监测。,待人工签认,
2953,支持提供多重耐药病人督导表。,待人工签认,
2967,支持将抗生素以及持续使用抗生素作为智能预警的条件。,功能等效,危急值/CDSS/到期预警/术后发热监测多类主动提醒
3002,支持手卫生依从性监测录入。,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3003,支持手卫生正确性监测录入。,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3010,支持对比手消用品领用情况。,待人工签认,
3015,支持横断面调查方法执行登记表。,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3034,支持法律法规、操作规范等学习内容发布。,待人工签认,
3048,支持生成多重耐药菌感染发现率。,待人工签认,
3049,支持生成多重耐药菌感染检出率。,待人工签认,
3051,支持生成医务人员手卫生依从率。,待人工签认,
3059,支持生成导尿管相关泌尿系统感染发病千分率。,待人工签认,
3060,支持生成血液透析相关血流感染发病率。,待人工签认,
3070,支持医院风险因素评估。,待人工签认,
3073,支持模版自定义。,待人工签认,
3075,支持发送通知通过到临床医生端。,待人工签认,
3085,支持有独立的部署程序和服务。,待人工签认,
3086,支持批量导入。,待人工签认,
3087,支持定时自动执行也支持手工运行。,待人工签认,
3089,支持数据提取有详细日志，出错记录提示等。,功能等效,集成消息日志（成功/失败/错误原因）+ ADAPTER 通道留痕
3090,支持多种数据库，如ORACLE、SQL SERVER、DB2、CACHE、等主流数据库。,部分符合,平台采用 PostgreSQL，JPA/JDBC 层具备主流库可迁移性（技术路线说明响应）
3091,支持数据提取支持多种系统来源。,待人工签认,
3095,支持病房工作日志。,部分符合,班次类型字典已有，节假日历为字典扩展
3102,支持病人病程记录。,功能等效,住院病历/病程（inp_medical_record）+ 移动查房
3105,支持多种开发语言，有DELPHI、PB、C#、JAVA、PHP等常用开发语言的实例，调用简单。,归配套产品,多语言调用示例属平台 SDK 文档，本平台提供标准 REST/HL7
3106,支持C/S、B/S架构；调用方式灵活。,待人工签认,
3114,支持独立运行，有无医生工作站均可。,待人工签认,
3116,支持提供C/S、B/S两种架构的解决方案。,待人工签认,
3120,支持查询病区感染发生情况。 +-------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
3134,支持根据项目的不同类型，自动匹配并设置对应的值域方式，减少人工配置工作量，提升配置效率。 +-----------------------------------------------------------------------------------------------------------------------------------------+ （3） 项目引用设定 +---,功能等效,科室工作量统计（日结/病案统计/科室 CMI）
3152,居民死亡医学证明（推断）书。 +-----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
3154,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3163,支持字段级预设规则，可为特定表项配置自动填充的初始默认值。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3164,实现字典数据动态关联，支持将表项与标准码表绑定以规范录入选项。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3165,具备外部数据映射能力，支持表项直接对接业务数据库实现实时数据源引用。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3166,配置精细化校验策略，可灵活设定各字段的必填属性以强化数据完整性约束。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3182,提供便捷的事件登记入口，支持医护人员快速发起全新的药品不良反应申报流程。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3208,建立申报撤回与纠错机制，针对误判或需重新复核的感染案例，支持在流程终结前执行撤销操作以终止当前任务。 +----------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,订单作废/退费/单据作废还原链路
3215,具备数据生命周期清理能力，支持对无效冗余、重复录入或测试产生的器械事件记录执行移除。 +------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3228,具备多人员并发指派能力，支持将复杂事件的调查或处理任务同时分配给多名具体责任人协作完成。 +----------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3231,构建可配置化的多源数据映射中间件，支持管理员灵活定义数据抓取规则，实现跨系统信息的自动化采集与无缝对接。 +--------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3237,构建事件详情全息视图，聚合原始申报数据、问题根源剖析、针对性改进策略、职能部门处置实录以及后续追踪评价登记，形成完整证据链。 +----------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3246,部署时间序列趋势分析引擎，按年度、季度及月度颗粒度追踪事件波动规律，识别季节性特征或长期改进效果。 +-----------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3254,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3258,通过时间轴查看所有个人档案事件发生情况，通过年份和事件类型进行过滤查看。,待人工签认,
3259,管理维护个人档案基本信息，包含工号、姓名、性别、婚姻、出生日期、手机号码、邮箱地址等内容。,待人工签认,院内邮件未实现（OA 通知可替代，建议按试点反馈决定）
3262,管理职称职务信息，档案显示医务调动后的变动记录，包含调动/任命日期、获得职称与职务名称等信息。,待人工签认,
3265,管理三新记录信息，包含记录项目名称、开始和结束时间、项目单位、项目类型等。,待人工签认,
3266,管理专业学会任职信息，包含任职开始和结束时间、任职团体、任职职务等。,待人工签认,
3268,查看奖惩情况，通过奖惩记录生成的包含奖励和惩罚相关的日期、部门、项目、等级、金额等。,待人工签认,
3273,管理带教记录，包含带教记录开始和结束时间、带教项目、组别、周数、学生来源等。,待人工签认,
3276,档案借阅记录，可以记录医务人员档案借阅情况和归还情况。 <!-- -->,待人工签认,
3279,支持医务管理人员变动和维护医生的职务变动信息。 <!-- -->,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3280,支持医务管理人员变动和维护医生的职称变动信息。 <!-- -->,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3286,支持批量对同一职称的所有医生进行批量授权。 <!-- -->,待人工签认,
3300,项目负责人对即将要开展的新项目新技术进行申请，申请的时候填写项目申请表，系统内置申请表的样式，医院需要提供格式进行调整。 可管理项目申请状态，暂存状态下可修改或者删除申请单。 可查看项目申请情况和审核记录情况。 2) 项目审核 <!-- -->,待人工签认,
3306,支持以进度条的方式跟踪查看项目开展进度。,待人工签认,
3307,支持对项目的转常规和变更操作。,部分符合,单据变更走作废/还原与调整留痕链路
3312,支持通过申请日期、类型、状态查看申请状态。,待人工签认,
3320,支持对投诉记录的调解处理，包含院方代表、调解时间、调解地点、院方法律人员、患方法律人员、调解结果等信息记录。,待人工签认,
3321,支持对调解不成功的记录进行诉讼处理，包含诉讼结果、诉讼时间等信息记录。,待人工签认,
3323,支持对处理结果的记录。,待人工签认,
3335,支持自由选择驳回节点。,待人工签认,
3358,支持考评项目的维护，包含考评项目标准分的维护、考评大类的维护。 <!-- -->,功能等效,质控抽检计划+标准维护（qc_check_plan）
3359,支持个人自评项目的维护，个人考评自评，考评附件的上传。 <!-- -->,功能等效,质控抽检计划+标准维护（qc_check_plan）
3363,支持对应急预案计划和记录的独立管理。,部分符合,制度文件库+OA 流程可承载预案文档与演练记录
3365,支持对已发生的应急预案进行记录。 <!-- -->,部分符合,制度文件库+OA 流程可承载预案文档与演练记录
3366,支持医务科管理和记录所有医生的奖励和惩罚信息并记录到个人医疗技术档案。 <!-- -->,待人工签认,
3382,支持人员基本信息的自我维护，可以启用审核功能，审核后才会生效修改内容。,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3402,支持对每种质量标准进行系列项目的维护。 <!-- -->,功能等效,质控抽检计划+标准维护（qc_check_plan）
3403,支持对全院一、二、三级质量的组织进行维护。 <!-- -->,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3405,支持选择计划的周期生成计划,待人工签认,
3406,"""年""计划时，可以任意选择12个月份中的某一些月份。",待人工签认,
3407,"""月""计划时，可以任意选择一个或者多个月份，然后选择对应的周。",待人工签认,
3408,"""日""计划时，可以任意选择一个或者多个月份，然后选择对应的日期。",待人工签认,
3411,支持质控计划按照计划日期，质控组织筛选已经建立的质控计划，可以通过计划标题和计划状态检索，可以查看计划执行进度。 <!-- -->,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
3423,支持批量进行原因分析，整改时间、整改措施、效果评价。,待人工签认,
3440,支持特色文化建设登记、工休（护患沟通）会议记录、护士长沟通记录的填写。 <!-- -->,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3451,支持公益派单无纸化管理，同时可根据预设条件进行人员推荐。 <!-- -->,待人工签认,
3453,支持对投诉记录的调解处理，包含院方代表、调解时间、调解地点、院方法律人员、患方法律人员、调解结果等信息记录。,待人工签认,
3454,支持对调解不成功的记录进行诉讼处理，包含诉讼结果、诉讼时间等信息记录。,待人工签认,
3456,支持对处理结果的记录。,待人工签认,
3470,能够首页各类发布信息的分类展示，展示内容按照信息的发布时间倒序查询。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,科室组织树/菜单树/数据元分类
3475,能够按照需要的信息选择并填写论文和期刊的主要内容进行保存。主要填写内容包含期刊类型、题目、第一作者、通讯作者、期刊名称、DOI、附件等资料。 +--------------------------------------------------------------------------------------------------------------------------------,部分符合,科研台账已有，论文字段为表结构扩展
3477,按照需要的信息选择并填写论文和期刊的主要内容进行保存。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,科研台账已有，论文字段为表结构扩展
3481,按照需要的信息选择并填写专著的主要内容进行保存。主要填写内容包含专著的图书名称、出版年份、附件、报销情况等。 +------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3491,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3496,支持完整记录每一条数据的处理过程，包括操作时间、操作人、操作类型等信息，形成详细的操作日志。 +--------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3500,系统支持批量审核与多级审核流程，满足不同医院的审核管理需求。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3510,户还能为每个动作设置对应的应用场景和应用终端（如医生工作站、护士站终端），确保动作定义与实际业务场景紧密贴合。 +-----------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3511,疾病动作关联模块实现了疾病类型与已定义动作的深度绑定，构建起完整的疾病全过程管理模型。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3512,根据不同疾病类型的特点，关联相应的动作序列，明确动作在疾病诊疗过程中的参考执行顺序和要求。 +---------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3513,支持将动作与业务表单进行关联，当执行相关动作时，自动触发业务表单的数据采集，实现数据的实时、准确录入。 +---------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3516,支持业务系统根据病种挂载相应的病种动作，确保各业务环节紧密围绕病种管理要求开展工作。 +------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3526,通过分析均次费用与资源消耗的关系，优化医疗资源配置。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3529,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3530,能够按身份证号进行身份数据资料识别。 +----------------------------------------------------------------------------------------+,待人工签认,
3534,能够对相似度较高的数据资料进行合并。 +----------------------------------------------------------------------------------------+,待人工签认,
3536,能够连接身份证读卡器进行身份证数据资料读取。 +----------------------------------------------------------------------------------------+,待人工签认,
3537,能够卡的新建、注销、启用、停用等行为。 +----------------------------------------------------------------------------------------+,待人工签认,
3538,能够对卡进行挂失，补办等功能。 +----------------------------------------------------------------------------------------+,待人工签认,
3539,能够设置卡的生效日期和实效日期。 +----------------------------------------------------------------------------------------+ 账户管控 +--------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3541,能够一个充值账户多人使用。 +----------------------------------------------------------------------------------------+,部分符合,支付/结算闭环已有；门诊预交金账户为小型扩展（试点反馈后决定）
3543,能够浏览卡的交易明细数据资料。 +----------------------------------------------------------------------------------------+,待人工签认,
3544,能够卡账户退现和转账功能。 +----------------------------------------------------------------------------------------+,待人工签认,
3547,能够对黑名单进行取消。 +----------------------------------------------------------------------------------------+ +----------------------------------------------------------------------------------------+,部分符合,登录防爆破锁定已有；预约爽约信用黑名单为小型扩展（试点反馈后决定）
3548,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3564,能够常用功能的快捷键行为。 +------------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
3577,退号能够连续行为，能够退号处理操作。 +------------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
3584,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3609,通过后台功能予以完成，能够自动化结账模式。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,支付/结算闭环已有；门诊预交金账户为小型扩展（试点反馈后决定）
3610,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3646,提供病区日报数据的手工录入、编辑、保存与查看功能，实现病区日常运营数据的规范化管理。 +------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3648,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3675,可手工录入诊疗项目、药品信息并完成费用计费。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3676,支持对已录入的手工计费项目进行移除与撤销。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,订单作废/退费/单据作废还原链路
3693,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3707,系统提供诊疗项目维护功能，可管理诊疗项目的基本信息及其他相关属性参数。 +----------------------------------------------------------------------------------------------------------------+,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3709,系统提供诊疗项目价格规则维护功能，可配置诊疗项目的定价策略和计费规则。 +----------------------------------------------------------------------------------------------------------------+,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3710,系统提供诊疗项目包维护功能，支持将多个诊疗项目组合成项目包进行统一管理。 +----------------------------------------------------------------------------------------------------------------+,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3715,系统提供执行单对应途径维护功能，支持设置各类执行单对应的给药途径或执行方式。 +----------------------------------------------------------------------------------------------------------------+ 五、票据管理 +--------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3716,系统具备票据分配、领用、审核等全流程管理功能，支持对票据的使用情况进行跟踪和控制。 +----------------------------------------------------------------------------------------------------------------+,待人工签认,
3726,系统提供医疗项目包查询功能，支持检索和查看各类诊疗项目包的详细信息。 +----------------------------------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
