序号,桶,桶名,现结论,主题,建议处置,命中规则,在正式名单内,参数摘要
2018,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,所有数据与病历质控系统实时同步。 +--------------------------------------------------------------
2019,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,展示当前住院患者的手术状态，包含姓名、手术状态、住院号、入室时间、出手术室时间、手术开始时间、手术结束时间、入恢复室时间、出恢复室时间、外科期望时间。 +---
2022,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医技检验影像,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,能够浏览检查报告列表及报告详情。 +--------------------------------------------------------------
2023,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医技检验影像,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,能够浏览检验报告列表及报告详情。支持查看PDF格式的检验报告，可以对检验报告PDF进行扩大、缩放查看。 +---------------------------
2027,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,医生通过医嘱管控浏览当前病人的所有医嘱数据资料。 +------------------------------------------------------
2030,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,能够新开医嘱，能够作废、停止、删除医嘱功能。并更多采用点击方式予以完成，减少医生手动输入。 +---------------------------------
2031,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,实时院内住院科室的所有可用床位，可看到每张床的使用情况。支持查看床位总数，已用床位数和可用床位数；支持根据医院的要求，控制显示编制床位或其他床位；单击科室床位可
2032,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,否,查询我的住院病人费用明细，根据病人病情关注费用是否合理。查看病人费用明细，单价、数量、金额等明细。能根据时间区域进行查询。 +-----------------
2033,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,实时查询我的门诊预约病人及门诊病人治疗情况，方便医生提高工作质量及工作水平。支持查看门诊患者病历、检查检验报告。 +----------------------
2034,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持按照时间段查看工作量统计报表（含门诊、住院）。 +-----------------------------------------------------
2036,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,对接体检系统，实时查询病人体检报告详情结果， +--------------------------------------------------------
2037,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,药事与药房,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持统计一段时间内医生的工作量情况，包括就诊人次、开药品合计、开处置合计、收入院人次、就诊率、药品开单率等。支持文字和图表两种方式的展示。 +---------
2038,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,查看当前医生所属业务科室的会诊申请记录，包含：住院患者基本信息（姓名、性别、年龄、床位号、主治医生、入院天数、住院科室、出生日期、入院时间、住院号、诊断结果、病
2144,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持统计报表打印功能，所有统计报表均支持预览和打印输出，支持导出为Excel格式，便于数据进一步分析处理；内置标准统计报表，也可根据医院实际需要定制统计报表。 
2437,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,实现了对基本数据元数据的详细信息的预览，以及对数据元的基本信息的修改，删除无用的数据元等功能。 （2）指标库管理：
2438,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,通过列表展示了全部的指标库，可以根据条件搜索满足条件的数据。
2446,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,通过分页表格展示了系统使用到的参数，可根据参数编码和参数名称查询，可对参数值进行修改。 病历模版 （1）模板管理
2447,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,权限审计与系统运维,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,可根据权限的不同查询到不同的模板，根据使用范围模板分为全局模板、全院模板、科室模板、个人模板。
2454,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,提供常用急诊病历、抢救记录、留观病人转入文书记录功能。
2455,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,新增病历：通过选择病历模板新增病历，也可通过既往病历新增病历，支持门诊病历、急诊留观病历等病历文书建立并书写。
2457,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,暂存与提交：支持暂存和提交两种保存方式，暂存表示病历尚未书写完成，提交表示病历已书写完成，提交后再修改病历会保留修改痕迹。
2460,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,录入诊断：支持中西医诊断录入，西医采用icd标准诊断，诊断可添加前后缀；支持保存常用诊断，从常用诊断中选择诊断等功能。
2462,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,病历签名：支持多种医师签名方式，如自定义图片签名，文本签名；可与第三方CA签名接口对接，实现CA签名。
2463,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,修改痕迹：支持三级医师的修改痕迹管理功能，病历提交后所有的修改痕迹都会保留下来，包括修改方式、修改内容、修改人姓名及工号、修改时间等，可通过菜单选择是否显示修改
2464,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,否,病历打印：支持病历预览、续打、合并打印、选择区域打印。
2465,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,查看质控结果：支持查看病历的质控结果，提醒和方便医生书写病历。
2466,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,保存多种格式：支持将病历保存为pdf、html、xml等格式，可通过编辑器或相应的工具打开病历。 （2）书写助手
2472,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,全文查找：支持病历内容全文查找，通过病历全文检索系统可检索病历。
2473,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,病历调阅及打印。
2508,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,病理 PIS,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,提供标准HIS接口，全面支持临床端电子病理申请单的在线接收，兼容常规、细胞学、TCT及冰冻预约等业务。 +---------------------------
2509,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持申请单数据一致化处理，确保患者资料在系统间同步准确。 +--------------------------------------------------
2512,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持多维度业务表单分类管理，内置多套标准模板并具备强大的表单定义引擎，支持格式的动态定制。 +---------------------------------
2513,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持集成360视图平台，实现患者电子病历与全量诊疗数据的实时查阅，并允许在冰冻预约阶段提前调阅检查资料。 +--------------------------
2514,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,病理 PIS,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持按HIS或体检来源快速接诊，提供集成化的标本核对界面，验证通过后一键完成登记并自动分配病理号。 +-----------------------------
2520,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,病理 PIS,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持已登记病理数据的全局查询，实现病理登记记录的快速定位与详情检索。 +--------------------------------------------
2530,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,病理 PIS,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持文字化记录完整的取材过程信息，确保描述内容的结构化存储与调阅。 +---------------------------------------------
2542,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,病理 PIS,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,提供病理登记全局视图，通过差异化配色实时标识检查进度，并利用直观图标区分单据及标签的打印完成情况。 +-----------------------------
2547,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持完善的报告录入体系，涵盖初步诊断、正式诊断建议及补充医嘱等多元化信息记录。 +---------------------------------------
2557,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持调阅患者全景信息，集成临床诊断、检体资料、原始申请单及电子病历数据，提供360度临床视图参考。 +-----------------------------
2559,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持个性化诊断模板的构建与维护，通过双击操作即可快速调用并填充结构化诊断内容。 +---------------------------------------
2562,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,病理 PIS,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持与院内移动服务及自助终端无缝联通，通过开放接口将病理诊断结果推送至小程序、公众号及自助一体机，实现患者跨平台、多终端的报告查阅与获取。 +---------
2572,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,危急值管控。 +------------------------------------------------------------------------
2574,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持危急值上报记录的全局审阅，可实时汇总并追踪所有高风险病例的通知状态与临床反馈。 +-------------------------------------
3467,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持可是人员班时、班次和质控信息的统计。 +-------------------------------+--------------------------
3925,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持查询高值耗材的出入库记录。 +-------------------------------+-------------------------------
183,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,"通过采用警示类型的设置，对审查出的不合理问题按照错误类型进行问题归类。支持审查的问题有""用药建议、用药提醒、管理规定、适宜性分析、规范性分析、超常性分析""等。支"
184,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,将检验指标与相关药品进行关联，实现检验指标在该药品用法用量、禁忌症、相互作用审查中的应用； <!-- -->
188,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,实现处方/医嘱药品的给药途径的合理性的审查；
189,D2,D2 真欠账——需排期评估,部分响应,权限审计与系统运维,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,对门急诊患者处方中使用的口服剂型药品（排除肠内营养制剂），审查其给药途径是否为鼻饲、造瘘管滴入，提醒用户可能存在给药途径不合理的问题。 用法用量的审查
190,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统支持根据患者年龄、性别、体重、体表面积、孕产、诊断、各项检验指标，结合药品的给药途径等信息对药品剂量进行合理性审查；
196,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,其中，支持长期医嘱和临时医嘱（st、once）的单次剂量的分别审查；
197,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统支持根据患者年龄、性别、体重、体表面积、孕产、诊断、各项检验指标对药品给药频率、给药时机、进行合理性审查；
200,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,实现校正剂量（覆盖除肿瘤药品外的口服药品）的审查，通过对涉及体重、体表面积计算出的非整数剂量的校正，提高审查准确率（如某药品根据体重、体表面积计算出患者应使用0
203,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在住院医嘱用药时，支持按在用药品配置药品累计使用最大天数的管控；
204,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,触发审查时，超出用药天数的限制，给予医生提醒。 相互作用的审查
208,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,实现治疗感冒的中成药与滋补性中成药的审查，可能存在不良相互作用。 重复用药的审查（重复开具、重复治疗）
215,D2,D2 真欠账——需排期评估,部分响应,医技检验影像,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,根据传入的患者检验及诊断数据判断患者肝功能状态，审查肝功能不全患者是否存在禁用和慎用的药品；
216,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,通过结合病人的诊断、eGFR指标值（可选择公式： Cockcroft-Gault 公式和CKD-EPI 公式）、是否透析状态等指标，判断患者肾功能状态，审查肾功
218,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在获取病人对乙醇过敏，提示病人用药处方中是否存在含有乙醇的药品。 不良反应提醒
220,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,处方/医嘱中肿瘤注射药品需要避光输注、冲管的，提醒医生用药需要注意该问题；
230,D2,D2 真欠账——需排期评估,部分响应,权限审计与系统运维,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,对已上市精、麻、毒、放、高危药品，维护精神药品、麻醉药品、毒性药品、放射性药品、高危药品的属性标志，用户可采用属性进行规则自定义，实现相关药品的管控；
231,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,提供一类、二类精神药品管控规则模板，可按《处方管理办法》实现用药疗程天数管控；
232,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,提供麻醉药品提供管控规则模板，可按《处方管理办法》实现用药疗程天数的管控；
236,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持根据根据患者年龄、体重、诊断及检验指标等特征实现对患者能量需求和补液量需求的审查；
244,D2,D2 真欠账——需排期评估,部分响应,权限审计与系统运维,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持用户自定义规则，可实现对q8h，q12h，q6h等特殊给药频率合理性的审查；
250,D2,D2 真欠账——需排期评估,部分响应,权限审计与系统运维,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,"支持用户自定义单病种的用药审查，控制""指定疾病的药品""只能在指定疾病下才能使用；支持用户自定义医保结算管控规则，控制""指定疾病的医保药品""在未患该疾病患者使用医"
480,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持报表导出，导出格式为excel格式，支持配置报表查看、报表生成、报表管理、报表填写的用户权限。 +-----------------------------
541,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持实时更新展示审方工作效率情况及药师排名，支持门诊住院各科室审方任务量排名、问题种类排名。 +-------------------------------+
625,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,提供数据集浏览功能，可实时查看各数据集的数据采集状态与数据校验结果；支持临床数据中心全局概览展示，同时可对临床数据库中的标准数据集进行统一查阅与浏览。 +---
636,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持根据业务分类、数据源、时间周期等维度筛选检索质检报告，支持查看报告详细明细信息，并可对报告及明细内容进行导出与下载。 +------------------
640,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持查看已建立指标的总体数量，并可按指标分类、归属科室等维度进行汇总统计与展示。 +-------------------------------+------
653,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持对指标可填报月份进行管控，支持对指标分类执行锁定与解锁操作，锁定后对应指标禁止填报。 +-------------------------------+--
703,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持按数据填报的对应科室进行差异化配置，可针对不同科室单独设定专属的审批流程，满足各科室业务流程多样化、个性化的审批管理需求。 （7）字典管理 提供大数据业务系
707,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,否,负责任务调度执行器的注册及全生命周期管理，支持执行器的新增、编辑等操作，保障执行器稳定运行，为各类任务调度工作提供可靠的基础支撑。 +-------------
717,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,统一对外提供标准接口，包含短信、微信公众号（包含第三方的微信公众号）、邮箱、企业微信、临床工作门户。 +----------------------------
753,D2,D2 真欠账——需排期评估,部分响应,权限审计与系统运维,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,同系统内部合并结果查询：支持查询同一业务系统内部患者记录的合并历史、合并关系及具体合并结果，为系统数据核对、审计及问题排查提供支撑。 +------------
884,D2,D2 真欠账——需排期评估,部分响应,医技检验影像,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,类型管控：能够一致化his检查类型，并能够根据类型设置预约渠道占比。 +--------------------------------------------
927,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持随访方式的新增、编辑与删除管理，可根据临床业务需求灵活配置、维护各类随访方式，满足不同场景下的随访业务开展要求。 +--------------------
959,D2,D2 真欠账——需排期评估,部分响应,权限审计与系统运维,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,可自由控制接收方是否具备下载权限，防止资料无限制扩散，还能设置是否允许查看历史版本影像。 +----------------------------------
966,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,全面展示周期患者就诊信息，查询周期患者列表，能够浏览个人资料、病历、医嘱等信息。 +--------------------------------------
968,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在接诊病人管理中，支持多病人接诊模式。 +-----------------------------------------------------------
969,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持自定义患者信息栏显示信息。 +---------------------------------------------------------------
974,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,能够医生无号就诊，为一些特殊情况患者拥有便利。 +-------------------------------------------------------
976,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,能够诊间加号、转诊、转介、退号等功能。 +-----------------------------------------------------------
982,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,能够在诊断基础上进行前缀、后缀内容的增加。 +---------------------------------------------------------
983,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,能够门诊诊断的确诊和疑诊标记功能。 +-------------------------------------------------------------
984,D2,D2 真欠账——需排期评估,部分响应,医保 DRG 结算,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,能够医保病人特殊病种录入。 +-----------------------------------------------------------------
988,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,门诊病历书写支持自动选择科室默认模板，也支持自行选择任一模板进行病历书写。同时支持选择患者历史文书创建新病历。 +-----------------------
989,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,提供类WORD书写界面风格、结构化书写、所见即所得。支持文本元素、日期元素、单选元素、多选元素等多种结构化书写格式，支持病历书写时元素的快速跳转。自由文本输入：
990,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,多媒体记录：能够插入图片、音频、视频等多媒体资料，如患者的患处照片、口述录音等。 +--------------------------------------
999,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,方便医生快捷进行医嘱的开立，拥有处方模板功能，并具有相应当模板编辑功能。 +------------------------------------------
1000,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,能够协定处方功能，提高医院配方速度和质量。 +---------------------------------------------------------
1004,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,否,能够多种录入方式：五笔首码、拼音首码、汉字、商品名、通用名、药品编码等。 +------------------------------------------
1006,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,医师能够输入相关注意事项，所有医嘱均拥有备注功能。 +-----------------------------------------------------
1010,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,提供针对药品医嘱外送功能。 +-----------------------------------------------------------------
1012,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持草药处方煎法、炮制、治法的选择。 +------------------------------------------------------------
1016,D2,D2 真欠账——需排期评估,部分响应,病理 PIS,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,拥有检验申请自动获取病情摘要、诊断，能填写标本类型、采样部位等信息，并根据流向自动获取执行科室。 +------------------------------
