序号,实质性★,重要▲,参数摘要,响应结论,响应说明
244,★,,支持用户自定义规则，可实现对q8h，q12h，q6h等特殊给药频率合理性的审查；,正偏离/无偏离,平台已实现（详见对应功能模块）
245,,▲,"①提供至少60个条件（如检验指标肌酐）的""为空""判断（即未获得病人的该类信息），②支持用户在自定义规则中使用，避免审查时存在缺陷；**（投标人提供相关软件界面截图，并加盖投标人公章）**",正偏离/无偏离,平台已实现（详见对应功能模块）
246,★,,提供中药颗粒目录，支持用户自定义规则，可以进行相应的管控；,正偏离/无偏离,平台已实现（详见对应功能模块）
247,★,,支持用户在自定义药品规则时，采用病人特征字典表达病人疾病情况。系统提供2500+个病人特征（如高血压、妊娠期妇女，已覆盖21个疾病）及其定义的规则，其规则可采用诊断、检验、手术等信息进行定义，已可基本满足已上市药品合理性审查（与西医诊断关联）时所需的病人特征；支持用户查看病人特征定义的规则，根据医院不同的管控需求，用户可对系统病人特征定义的规则进行修改或添加新的病人特征并自定义其规则。修改后，使用,正偏离/无偏离,平台已实现（详见对应功能模块）
248,★,,系统支持自定义规则审核后立即生效（不需要重启服务器）；可快速实现处方/医嘱的干预、查询、分析和统计。 自定义管理规则,正偏离/无偏离,平台已实现（详见对应功能模块）
249,★,,支持用户自定义管理规则，实现对整体用药的管控，包括门、急诊处方药品超多日用量、门诊输液审查（可限定科室、疾病）；药品品种（名称和品种数）、药品发药数量、处方金额、中药饮片帖数、中药饮片味数等（可限定患者病历号、处方时间、科室、来源（门诊、急诊或住院）等；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
250,★,,"支持用户自定义单病种的用药审查，控制""指定疾病的药品""只能在指定疾病下才能使用；支持用户自定义医保结算管控规则，控制""指定疾病的医保药品""在未患该疾病患者使用医保结算的管控；例：肝移植患者使用医保结算来采购只限肾移植患者医保结算的药品时，系统支持非肾移植患者须自费使用的审查。 +-------------------------------+----------------------------",正偏离/无偏离,平台已实现（详见对应功能模块）
251,,,支持处方/医嘱每天自动导入合理用药管理系统，并支持全处方/出院医嘱的自动分析；,正偏离/无偏离,平台已实现（详见对应功能模块）
252,,,支持门诊按单张处方和按患者当天所有处方合并审查，出院按患者进行合并分析；,正偏离/无偏离,平台已实现（详见对应功能模块）
253,,,支持对处方/医嘱中存在的用法用量、相互作用、配伍禁忌、重复用药、禁忌症、适应症、特殊人群用药、妊娠期用药、哺乳期用药、过敏、给药途径等不合理用药情况进行自动分析。 分析结果查询,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
254,,,支持药师查看所有处方/医嘱，并可查看系统警示信息及个性化用药规则的分析结果；,正偏离/无偏离,平台已实现（详见对应功能模块）
255,,,支持科主任/医院管理人员登入系统，查看本科室/本院的处方/医嘱及分析结果；,正偏离/无偏离,平台已实现（详见对应功能模块）
256,,,支持医生登入系统，查看本人的处方和处方分析结果；,正偏离/无偏离,平台已实现（详见对应功能模块）
257,,,支持从门诊处方、门诊患者、出院患者维度查看所有处方/医嘱及分析结果；,正偏离/无偏离,平台已实现（详见对应功能模块）
258,,,对于门诊处方，提供日期、处方号、患者号、患者姓名、科室、医生、诊断、警示类型、警示等级、药品名称等检索条件，支持根据选择条件筛选并展示相关处方数据及其审查结果；,正偏离/无偏离,平台已实现（详见对应功能模块）
259,,,对于门诊患者，提供日期、患者号、患者姓名、科室、医生、警示类型、警示等级等检索条件，支持根据选择条件筛选并展示相关门诊患者数据及其审查结果；,正偏离/无偏离,平台已实现（详见对应功能模块）
260,,,对于出院患者，提供日期、住院号、患者号、患者姓名、病案号、科室、诊断、警示类型、警示等级、药品名称等检索条件，筛选出出院患者信息及审查结果；,正偏离/无偏离,平台已实现（详见对应功能模块）
261,,,支持药师结合医院的实际用药情况，对系统审查产生的警示信息进行确认、待查操作。 ### 抽样点评功能 点评项目创建,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
262,,,支持全处方点评和全医嘱点评；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
263,,,支持特定条件下处方/医嘱的抽样点评；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
264,,,支持通过自定义模板的方式保留抽取条件和分配方案，对处方/医嘱进行抽样点评；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
265,,,支持对特定药品进行专项点评，如抗菌药物专项、基药专项等；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
266,,,支持多维度的抽样筛选条件组合抽取，满足用户不同的抽样要求；,正偏离/无偏离,平台已实现（详见对应功能模块）
267,,,门急诊处方：提供年龄、患者号、处方号、处方来源（门急诊、门诊、急诊）、药品名称、药品品种数、药品属性、是否包含退药处方、是否注射给药、诊断、医生职称、处方类型（西药方、草药方、中成药方）、处方金额、抗菌药物类型、机评合理情况（全部、合理、不合理）、警示信息（按警示信息类型、状态、等级）、点评方式（按科室、按医生）、样本来源（全部、已抽取、未抽取）筛选条件；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
268,,,住院医嘱：提供年龄、住院号、患者号、病案号、药品名称、药品属性、是否包含无用药患者、是否是出院带药患者、住院天数、诊断、医生职称、是否有手术信息患者、手术名称、手术等级、切口类型、用药金额、抗菌药物类型、机评合理情况、警示信息（按警示信息类型、状态、等级）、点评方式（按科室、按医生、按病区、按医疗组）、样本来源（全部、已抽取、未抽取）筛选条件；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
269,,,针对药品名称，支持处方/医嘱中多个药品同时存在时才抽取的抽取方式（支持3个及以下药品的同时抽取）；,正偏离/无偏离,平台已实现（详见对应功能模块）
270,,,住院医嘱抽取时若存在药品名称筛选且按医生进行抽样时，支持将药品与开嘱医生关联；,正偏离/无偏离,平台已实现（详见对应功能模块）
271,,,支持在抽样时设置点评样本中需要显示的警示信息类型、状态和等级。支持只显示抽取药品名称、药品属性的警示信息；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
272,,,支持通过自定义规则对应警示进行样本抽取（处方、医嘱），满足用户个性化的抽样要求；,正偏离/无偏离,平台已实现（详见对应功能模块）
273,,,支持多种样本抽取方式； > 门诊：,待复核,初评未匹配，须项目组逐条人工确认
274,,,提供全部抽取；,待复核,初评未匹配，须项目组逐条人工确认
275,,,提供随机按指定数量或百分比抽取；,待复核,初评未匹配，须项目组逐条人工确认
276,,,提供等间隔按指定数量抽取；,待复核,初评未匹配，须项目组逐条人工确认
277,,,提供每个机构/科室指定数量或百分比抽取；,正偏离/无偏离,平台已实现（详见对应功能模块）
278,,,提供按药品抽取，即当存在药品名称筛选条件时，支持按筛选药品指定数量抽取；,待复核,初评未匹配，须项目组逐条人工确认
279,,,提供按医生抽取，即当存在医生筛选条件时，支持设定满足筛选条件的医生指定人数或百分比人数，并支持设置单个医生指定数量或百分比进行组合抽取； > 住院：,正偏离/无偏离,平台已实现（详见对应功能模块）
280,,,提供全部抽取；,待复核,初评未匹配，须项目组逐条人工确认
281,,,提供随机按指定数量或百分比抽取；,待复核,初评未匹配，须项目组逐条人工确认
282,,,提供等间隔按指定数量抽取；,待复核,初评未匹配，须项目组逐条人工确认
283,,,提供每个机构/科室/病区/医疗组指定数量或百分比抽取；,正偏离/无偏离,平台已实现（详见对应功能模块）
284,,,提供按药品抽取，即当存在药品名称筛选条件时，支持按筛选药品指定数量抽取；,待复核,初评未匹配，须项目组逐条人工确认
285,,,提供按医生抽取，即当存在医生筛选条件时，支持按筛选医生指定数量或百分比抽取样本；,待复核,初评未匹配，须项目组逐条人工确认
286,,,提供按病区、医疗组、主管医生抽取，即当存在主管医生筛选条件时，支持按指定数量或百分比抽取病区、医疗组、主管医生，每个病区、医疗组、主管医生指定数量或百分比的样本；,待复核,初评未匹配，须项目组逐条人工确认
287,,,支持多方案抽取，在单项目中新增多个抽取方案，每个方案对应一份抽取条件，多份条件逐一抽取；,待复核,初评未匹配，须项目组逐条人工确认
288,,,支持提供住院病人特殊级抗菌药物(万古霉素等)专项点评模板及导出模板。 处方/医嘱人工点评,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
289,,,支持处方/医嘱点评项目的任务进行分配，将抽取的处方/医嘱分配给多个药师进行人工点评；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
290,,,支持复核点评流程，所有点评药师完成点评后项目进入复核阶段，复评药师可查看点评药师的点评结果并对点评结果进行复核点评并保存复核结果；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
291,,,支持点评药师查看并点评被分配的点评项目及具体点评任务，点评任务列表页面提供时间、患者姓名、是否合理、机评结果、警示类型、警示等级、点评状态、审阅状态、科室、选择药品筛选条件；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
292,,,支持对处方/医嘱自动点评，支持点评药师在点评处方/医嘱时，对系统点评产生的警示信息内容进行忽略或恢复，并支持人工添加点评意见，填写人工点评意见时支持选择问题代码及药品名称，同时点评任务列表页支持处方/医嘱的批量点评，包括批量确认机评结果和批量忽略机评结果；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
293,,,支持按警示类型自动配置问题代码，同时支持药师点评时选择问题代码、药品名称或直接填写人工点评内容；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
294,,,"支持人工点评意见标记展示，点评药师人工添加的人评意见展示""人评""标记；",配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
295,,,支持机评警示信息、点评意见、复核意见和最终点评意见单独存储；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
296,,,点评任务列表页支持处方/医嘱的批量点评，包括批量确认机评结果和批量忽略机评结果；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
297,,,点评项目列表页面支持配置显示样本开始时间、样本结束时间、项目创建时间、项目结束时间、项目入库时间、项目推送时间；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
298,,,复核停用时，支持在点评阶段，将点评任务填写转办理由并将任务转办至指导专家处进行点评，指导专家可在样本详情页查看样本的转办理由。复核启用时，支持在复核阶段，将复核任务填写转办理由并将任务转办至指导专家处进行复核，指导专家可在该样本详情页查看样本的转办理由；支持复核及转办均开启时，点评药师可对点评任务进行存疑操作并填写存疑理由，复核专家可在该样本详情页面查看样本的存疑理由；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
299,,,支持查看样本的历史点评记录，并支持历史点评结果引用。 处方/医嘱界面展示,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
300,,,支持处方/医嘱明细页面一体化展示患者信息、处方/医嘱信息、检查检验信息、手术信息、电子病历信息及系统自动分析结果；,正偏离/无偏离,平台已实现（详见对应功能模块）
301,,,对于门诊处方，支持查看患者当日所有处方；,正偏离/无偏离,平台已实现（详见对应功能模块）
302,,,对于住院医嘱，支持按医嘱类型、药品属性、药品名称、科室、医生进行医嘱明细信息筛选；,正偏离/无偏离,平台已实现（详见对应功能模块）
303,,,支持点击警示信息后，左侧药品区域只展示存在该警示信息的问题药品；,外部条件,需医保局/省平台等外部环境开通后联调
304,,,支持点击药品后，右侧警示信息栏只显示该药品相关的警示信息；,待复核,初评未匹配，须项目组逐条人工确认
305,,,支持在药师点评详情页面，展示干预阶段或审方阶段医生双签名确认时填写的理由；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
306,,,支持用户自定义设置患者信息显示的字段；,正偏离/无偏离,平台已实现（详见对应功能模块）
307,,,支持用户自定义设置药品明细页面展示的字段，并可设置字段排序，方便药师关注信息的优先展示；,正偏离/无偏离,平台已实现（详见对应功能模块）
308,,,提供处方/医嘱明细页警示等级按钮，点击对应等级即可显示或隐藏对应等级的警示信息；,正偏离/无偏离,平台已实现（详见对应功能模块）
309,,,支持处方/医嘱点评详情页面外链跳转功能；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
310,,,支持住院点评详情页展示时序图功能。 问题代码设置功能,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
311,,,系统支持用户自定义问题代码与警示类型的对应关系，同时支持按对应关系自动生成问题代码；,正偏离/无偏离,平台已实现（详见对应功能模块）
312,,,支持问题代码在的点评界面展示和项目报表中导出。 项目报表生成及导出,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
313,,,门诊处方点评项目结束后，支持按机构、按科室、按医生、按科室-医生生成项目报表，包括点评处方数、处方人次数、用药品种数、抗菌药物品种数、基药品种数、抗菌药物总金额、基药使用人次数、基药使用人次百分率、抗菌药物金额百分率、抗菌药物品种数百分率、不合理处方数等指标等统计指标，满足处方点评的要求；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
314,,,住院医嘱项目结束后，支持按机构、按科室、按医疗组、按科室-主管医生生成项目报表，包括出院患者人次数、用药品种数、抗菌药物品种数、基药品种数、抗菌药物使用百分率(%)、合理医嘱百分率(%)、抗菌药物总金额、抗菌药物金额百分率、抗菌药物品种数百分率、不合理医嘱数等统计指标；满足医院医嘱点评的要求；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
315,,,支持项目报表、处方/医嘱样本数据导出成excel文件；,正偏离/无偏离,平台已实现（详见对应功能模块）
316,,,支持用户自定义设置样本导出方案，提供可选择的处方或医嘱点评样本导出字段（系统提供80+待选字段），满足用户的个性化导出要求；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
317,,,门诊处方项目导出时支持导出全部药品、抽取药品、抗菌药物、问题药品的数据；,正偏离/无偏离,平台已实现（详见对应功能模块）
318,,,住院医嘱项目导出时支持导出全部药品、抽取药品、抗菌药物、问题药品、出院带药、抽取医生的数据；,正偏离/无偏离,平台已实现（详见对应功能模块）
319,,,支持将结束后项目中的数据进行汇总统计，支持按日期、机构、样本类型、处方来源、科室范围进行样本统计；,正偏离/无偏离,平台已实现（详见对应功能模块）
320,,,支持自定义配置用户项目报表查看和导出的权限；,正偏离/无偏离,平台已实现（详见对应功能模块）
321,,,提供点评统计功能。 > 样本统计,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
322,,,门诊处方：处方总数、抽取数、抽取率、点评数、点评率、合理数、不合理数、合理率、处方总人次数、点评人次数、点评率（人次）、合理人次数、不合理人次数、合理率（人次）的数据统计；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
323,,,住院医嘱：出院患者人次数、抽取数、抽取率、点评数、点评率、合理数、不合理数、合理率的数据统计；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
324,,,药师统计：点评药师、分配数、合理数、不合理数、合理率、点评数、点评合理数、点评不合理数、点评合理率、完成率、点评项目及数量的数据统计。 > 医生统计,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
325,,,门诊处方：处方数、被选中处方数、合理处方数、不合理处方数、合理率、不合理原因、问题代码的数据统计；,正偏离/无偏离,平台已实现（详见对应功能模块）
326,,,问题代码的数据统计；,正偏离/无偏离,平台已实现（详见对应功能模块）
327,,,药品统计：西药、中成药、中药饮片、质子泵抑制剂、注射剂、抗菌药物、特殊级、限制级、非限制级、国家基本药物等标准属性的处方数/出院患者人次数、使用率、点评数、点评率、合理处方/医嘱数、不合理处方/医嘱数、合理率的数据统计；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
328,,,专项统计：按模板统计抽取数、点评数、合理数、不合理数、合理率的数据；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
329,,,支持在项目结束前项目报表统计、导出方案设置及导出。 点评结果查看,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
330,,,支持科主任/医院管理人员登入系统，查看管理科室/管理机构的处方/医嘱及点评结果；选中处方数、合理处方数、不合理处方数、合理率、不合理原因、问题代码的数据统计；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
331,,,住院医嘱（支持主管医生）：出院患者人次数、被选中数、合理数、不合理医数、合理率、不合理原因；,正偏离/无偏离,平台已实现（详见对应功能模块）
332,,,支持医生登入系统查看本人的不合理处方或医嘱，在点评项目未结束时可对药师的点评结果进行申述，填入申述理由，并支持支持上传附件。,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
333,★,,点评结果推送 支持将药师点评为不合理的处方推送至相应的开方医生，支持医生在收到点评结果提醒后，免密登录合理用药系统查看具体不合理处方并进行申述；支持将药师点评为不合理的医嘱推送至患者相关医生，或仅推给有问题药品的开嘱医生（非药品问题的医嘱会推送给主管医生），支持医生收到点评结果提醒后，免密登录合理用药系统查看具体不合理医嘱并进行申述。 +------------------------------,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
334,,,提供78张统计报表供医院使用，覆盖医院用药数据统计的各种维度，包括按机构、按科室、按医疗组、按病区、按医生统计，按药品统计、按手术统计、按问题类型统计等。 此外还提供了不同统计类型的报表，包括出院科室统计、实际使用科室统计、含在院使用统计；,正偏离/无偏离,平台已实现（详见对应功能模块）
335,,,常用上报报表（6张）；,正偏离/无偏离,平台已实现（详见对应功能模块）
336,,,概述：涵盖6张国家要求上报报表。 指标：,正偏离/无偏离,平台已实现（详见对应功能模块）
337,,,按照阳光用药上报相关政策，支持国家基药目录品种使用金额比例(%)、抗菌药物占药品使用比例(%)等指标的统计。\ 按照《国家三级公立医院绩效考核操作手册（2023版）》相关要求，支持点评处方占处方总数的比例、点评处方数、处方总数等合理用药相关指标的统计；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
338,,,按照《国家三级公立中医机构绩效考核操作手册（2023版）》相关要求，支持点评处方占处方总数的比例、点评处方数、处方总数等合理用药相关指标的统计；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
339,,,按照《国家二级公立医院绩效考核操作手册（2022版）》相关要求，支持抗菌药物使用强度（DDDs）、住院患者抗菌药物消耗量（累计DDD数）、同期收治患者人天数等合理用药相关指标的统计；,正偏离/无偏离,平台已实现（详见对应功能模块）
340,,,按照《国家卫生健康委办公厅关于印发药事管理和护理专业医疗质量控制指标（2020年版）的通知》，支持统计住院患者抗菌药物使用率、住院患者抗菌药物使用强度、住院患者特殊使用级抗菌药物使用量占比等合理用药相关指标的统计；,正偏离/无偏离,平台已实现（详见对应功能模块）
341,,,按照《抗菌药物临床应用指导原则2015版》相关要求，支持抗菌药物品种数、同一通用名称抗菌药物-注射剂型、同一通用名称抗菌药物-口服剂型等相关指标的统计。 报表清单：,正偏离/无偏离,平台已实现（详见对应功能模块）
342,,,三级公立医院绩效考核指标统计表；,正偏离/无偏离,平台已实现（详见对应功能模块）
343,,,三级公立中医医院绩效考核指标统计表；,正偏离/无偏离,平台已实现（详见对应功能模块）
344,,,二级公立医院绩效考核指标统计表；,正偏离/无偏离,平台已实现（详见对应功能模块）
345,,,药事管理专业医疗质量控制指标（2020版）；,正偏离/无偏离,平台已实现（详见对应功能模块）
346,,,抗菌药物临床应用管理评价指标（2015版）； 抗菌药物专项（5张） 概述： 提供门诊及住院抗菌药物使用情况的统计，包括抗菌药物处方数、人次数、抗菌药物总金额、使用强度等指标。 指标：,正偏离/无偏离,平台已实现（详见对应功能模块）
347,,,支持按照机构/科室/医生维度查看门诊抗菌药物总金额、品规数、处方数、处方人次数等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
348,,,支持按照机构/科室/病区/医疗组查看住院抗菌药物人次数、非限制级、限制级、特殊级抗菌药物使用人次占比(%)、抗菌药物使用强度等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
349,,,支持按照机构/科室/病区/医疗组查看住院抗菌药物送检人次、抗菌药物治疗使用送检人次、非限制级、限制级、特殊级抗菌药物治疗使用送检人次等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
350,,,支持按药品查看门诊抗菌药物的使用人次、使用数量、使用金额、消耗总克数、使用量（DDDs）等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
351,,,支持按药品查看住院抗菌药物的使用人次、使用数量、使用金额、消耗总克数、使用量（DDDs）等指标。 报表清单：,正偏离/无偏离,平台已实现（详见对应功能模块）
352,,,门诊抗菌药物使用情况汇总；,正偏离/无偏离,平台已实现（详见对应功能模块）
353,,,住院抗菌药物使用情况汇总；,正偏离/无偏离,平台已实现（详见对应功能模块）
354,,,住院抗菌药物送检情况分析；,正偏离/无偏离,平台已实现（详见对应功能模块）
355,,,门诊抗菌药物使用分析；,正偏离/无偏离,平台已实现（详见对应功能模块）
356,,,住院抗菌药物使用分析。 基本药物专项（4张） 概述: 提供基药及省基药的使用情况统计，包括基本药物处方数、总金额、人次数等指标。 指标：,正偏离/无偏离,平台已实现（详见对应功能模块）
357,,,支持按照机构/科室/医生维度查看门诊基本药物处方数、处方人次、基本药物总金额等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
358,,,支持按照机构/科室/医生维度查看门诊省级基本药物处方数、处方人次、基本药物总金额等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
359,,,支持按照机构/科室/病区/医疗组维度查看住院基本药物累计品规数、总金额、人次数等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
360,,,支持按照机构/科室/病区/医疗组维度查看住院省级基本药物累计品规数、总金额、人次数等指标。 报表清单：,正偏离/无偏离,平台已实现（详见对应功能模块）
361,,,门诊基本药物使用情况汇总；,待复核,初评未匹配，须项目组逐条人工确认
362,,,门诊省基本药物使用情况汇总；,待复核,初评未匹配，须项目组逐条人工确认
363,,,住院基本药物使用情况汇总；,正偏离/无偏离,平台已实现（详见对应功能模块）
364,,,住院省基本药物使用情况汇总。 输液药物专项（4张） 概述： 提供门诊及住院静脉输液药品、抗菌药物静脉输液药品的使用情况统计，包括输液药物总金额、静脉输液使用量（瓶/袋）、抗菌药物输液处方数等指标。 指标：,正偏离/无偏离,平台已实现（详见对应功能模块）
365,,,支持按照机构/科室/医生维度查看门诊输液药物处方数、总金额、静脉输液使用量（瓶/袋）、输液处方人次（≥14岁）、输液处方人次（＜14岁）等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
366,,,支持按照机构/科室/医生维度查看门诊抗菌药物输液处方数、处方人次、抗菌药物输液使用量（累计DDD数）等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
367,,,支持按照机构/科室/病区/医疗组维度查看住院输液药物人次、总金额、静脉输液使用量（瓶/袋）、输液人次（≥14岁）、输液人次（＜14岁）等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
368,,,支持按照机构/科室/病区/医疗组维度查看住院抗菌药物输液人次、抗菌药物输液使用量（累计DDD数）、非限制级、限制级及特殊级抗菌药物输液人次等指标。 报表清单：,正偏离/无偏离,平台已实现（详见对应功能模块）
369,,,门诊输液药物使用情况汇总；,正偏离/无偏离,平台已实现（详见对应功能模块）
370,,,门诊抗菌药物输液情况汇总；,正偏离/无偏离,平台已实现（详见对应功能模块）
371,,,住院输液药物使用情况汇总；,正偏离/无偏离,平台已实现（详见对应功能模块）
372,,,住院抗菌药物输液情况汇总。 质子泵专项（2张） 概述： 提供门诊及住院质子泵抑制剂的使用情况统计，包括质子泵抑制剂处方数、人次数、总金额等指标。 指标：,正偏离/无偏离,平台已实现（详见对应功能模块）
373,,,支持按照机构/科室/医生维度查看门诊质子泵抑制剂累计品规数、处方数、总金额等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
374,,,支持按照机构/科室/病区/医疗组维度查看住院质子泵抑制剂累计品规数、人次数、总金额等指标。,正偏离/无偏离,平台已实现（详见对应功能模块）
375,,,支持按照机构/科室/医生维度查看全院质子泵抑制剂累计品规数、处方数、总金额等指标。,正偏离/无偏离,平台已实现（详见对应功能模块）
376,,,门诊质子泵抑制剂使用情况汇总；,待复核,初评未匹配，须项目组逐条人工确认
377,,,住院质子泵抑制剂使用情况汇总。 中药使用专项（2张） 概述： 提供中药饮片使用情况相关统计，包括处方数、药品金额、帖数、中药注射剂处方数等指标。 指标:,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
378,,,支持按照机构/科室/医生维度查看门诊中药饮片处方数、处方人次、中药饮片总金额、中药饮片总帖数、帖均费用等指标；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
379,,,支持按照机构/科室/病区/医疗组维度查看住院中药饮片人次数、中药饮片总金额、中药注射剂人次数等指标。 报表清单：,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
380,,,门诊中药使用情况汇总；,待复核,初评未匹配，须项目组逐条人工确认
381,,,住院中药使用情况汇总。 重点监控药品（4张） 概述： 提供国家级、省级重点监控药品相关统计，包括药品总金额、处方数、处方人次等指标。 指标：,正偏离/无偏离,平台已实现（详见对应功能模块）
382,,,支持按照机构/科室/医生维度查看门诊国家重点监控药品处方数、处方人次数、用药总金额等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
383,,,支持按照机构/科室/医生维度查看门诊省重点监控药品省重点监控药品处方数、处方人次数、用药总金额等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
384,,,支持按照机构/科室/病区/医疗组维度查看住院国家重点监控药品省重点监控药品人次数、用药总金额等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
385,,,支持按照机构/科室/病区/医疗组维度查看住院省重点监控药品省重点监控药品人次数、用药总金额等指标。 报表清单：,正偏离/无偏离,平台已实现（详见对应功能模块）
386,,,门诊国家重点监控药品使用情况汇总；,正偏离/无偏离,平台已实现（详见对应功能模块）
387,,,门诊省重点监控药品使用情况汇总；,正偏离/无偏离,平台已实现（详见对应功能模块）
388,,,住院国家重点监控药品使用情况汇总；,正偏离/无偏离,平台已实现（详见对应功能模块）
389,,,住院省重点监控药品使用情况汇总。 手术用药专项（2张） 概述： 提供I类切口手术预防使用抗菌药物情况的相关统计。 指标：,正偏离/无偏离,平台已实现（详见对应功能模块）
390,,,支持按照医院/科室/病区/医疗组查看I类切口手术预防使用抗菌药物例次、原则上不需要预防使用抗菌药物的I类切口手术例次、I类切口手术预防使用抗菌药物品种选择合理例次等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
391,,,支持按照I类切口手术维度查看手术例数、预防用抗菌药物例数、术前24h内使用抗菌药物例数等指标。 报表清单：,正偏离/无偏离,平台已实现（详见对应功能模块）
392,,,围手术期抗菌药物使用情况表；,正偏离/无偏离,平台已实现（详见对应功能模块）
393,,,I类切口手术汇总表。 药品使用分析（5张） 概述： 提供药品使用情况统计，包括处方总数、处方总金额、平均处方金额、出院患者总人次、出院患者用药总金额等指标。 指标：,正偏离/无偏离,平台已实现（详见对应功能模块）
394,,,支持查看全院用药总金额、全院基本药物总金额、基本药物金额占比(%)、全院抗菌药物总金额、全院抗菌药物金额占比(%)等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
395,,,支持按照机构/科室/医生维度查看门诊总处方数、总处方人次、平均处方药品品规数、人均药品品规数、处方数（不含中药饮片）、处方人次（不含中药饮片）等指标；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
396,,,支持按照机构/科室/病区/医疗组维度查看住院出院患者总人次、出院患者住院总天数、平均住院天数、人均药品品规数、抗菌药物人次等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
