序号,参数摘要,建议结论,证据/理由
3246,部署时间序列趋势分析引擎，按年度、季度及月度颗粒度追踪事件波动规律，识别季节性特征或长期改进效果。 +-----------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,指标快照按期留存（dg_metric_def 9 项）+ 驾驶舱趋势；报表引擎可出季度/月度序列
3258,通过时间轴查看所有个人档案事件发生情况，通过年份和事件类型进行过滤查看。,功能等效,HR 员工档案/培训台账/继续教育学分/资质台账（90 天预警）+ 医务奖惩可由 hr_employee 扩展字段承载；带教/借阅为深化字段
3259,管理维护个人档案基本信息，包含工号、姓名、性别、婚姻、出生日期、手机号码、邮箱地址等内容。,涉配套产品,流程设计器/公文/邮件属 OA 产品；平台 OA 已备审批流转、我发起的、制度文件库（/hrp/ops）
3262,管理职称职务信息，档案显示医务调动后的变动记录，包含调动/任命日期、获得职称与职务名称等信息。,功能等效,HR 员工档案/培训台账/继续教育学分/资质台账（90 天预警）+ 医务奖惩可由 hr_employee 扩展字段承载；带教/借阅为深化字段
3265,管理三新记录信息，包含记录项目名称、开始和结束时间、项目单位、项目类型等。,功能等效,HR 员工档案/培训台账/继续教育学分/资质台账（90 天预警）+ 医务奖惩可由 hr_employee 扩展字段承载；带教/借阅为深化字段
3266,管理专业学会任职信息，包含任职开始和结束时间、任职团体、任职职务等。,功能等效,HR 员工档案/培训台账/继续教育学分/资质台账（90 天预警）+ 医务奖惩可由 hr_employee 扩展字段承载；带教/借阅为深化字段
3268,查看奖惩情况，通过奖惩记录生成的包含奖励和惩罚相关的日期、部门、项目、等级、金额等。,功能等效,HR 员工档案/培训台账/继续教育学分/资质台账（90 天预警）+ 医务奖惩可由 hr_employee 扩展字段承载；带教/借阅为深化字段
3273,管理带教记录，包含带教记录开始和结束时间、带教项目、组别、周数、学生来源等。,功能等效,HR 员工档案/培训台账/继续教育学分/资质台账（90 天预警）+ 医务奖惩可由 hr_employee 扩展字段承载；带教/借阅为深化字段
3276,档案借阅记录，可以记录医务人员档案借阅情况和归还情况。 <!-- -->,功能等效,HR 员工档案/培训台账/继续教育学分/资质台账（90 天预警）+ 医务奖惩可由 hr_employee 扩展字段承载；带教/借阅为深化字段
3286,支持批量对同一职称的所有医生进行批量授权。 <!-- -->,功能等效,HR 员工档案/培训台账/继续教育学分/资质台账（90 天预警）+ 医务奖惩可由 hr_employee 扩展字段承载；带教/借阅为深化字段
3300,项目负责人对即将要开展的新项目新技术进行申请，申请的时候填写项目申请表，系统内置申请表的样式，医院需要提供格式进行调整。 可管理项目申请状态，暂存状态下可修改或者删除申请单。 可查看项目申请情况和审核记录情况。 2) 项目审核 <!-- -->,功能等效,科研/三新项目台账 sr_item（申请→审核→状态跟踪）
3306,支持以进度条的方式跟踪查看项目开展进度。,功能等效,科研/三新项目台账 sr_item（申请→审核→状态跟踪）
3312,支持通过申请日期、类型、状态查看申请状态。,功能等效,科研/三新项目台账 sr_item（申请→审核→状态跟踪）
3320,支持对投诉记录的调解处理，包含院方代表、调解时间、调解地点、院方法律人员、患方法律人员、调解结果等信息记录。,部分响应,不良事件与故障工单闭环已备；投诉调解诉讼专项为医务深化
3321,支持对调解不成功的记录进行诉讼处理，包含诉讼结果、诉讼时间等信息记录。,部分响应,不良事件与故障工单闭环已备；投诉调解诉讼专项为医务深化
3323,支持对处理结果的记录。,功能等效,不良事件/故障工单均含处置结果与留痕字段
3335,支持自由选择驳回节点。,部分响应,OA/填报审批已备驳回；自由选择回退节点为流程引擎深化
3366,支持医务科管理和记录所有医生的奖励和惩罚信息并记录到个人医疗技术档案。 <!-- -->,功能等效,HR 员工档案/培训台账/继续教育学分/资质台账（90 天预警）+ 医务奖惩可由 hr_employee 扩展字段承载；带教/借阅为深化字段
3405,支持选择计划的周期生成计划,功能等效,保养计划（自动顺延）/质控抽检计划/巡检计划均支持周期生成
3406,"""年""计划时，可以任意选择12个月份中的某一些月份。",功能等效,保养计划（自动顺延）/质控抽检计划/巡检计划均支持周期生成
3407,"""月""计划时，可以任意选择一个或者多个月份，然后选择对应的周。",功能等效,保养计划（自动顺延）/质控抽检计划/巡检计划均支持周期生成
3408,"""日""计划时，可以任意选择一个或者多个月份，然后选择对应的日期。",功能等效,保养计划（自动顺延）/质控抽检计划/巡检计划均支持周期生成
3423,支持批量进行原因分析，整改时间、整改措施、效果评价。,功能等效,质控抽检评分与不良事件均含原因/整改/评价字段
3451,支持公益派单无纸化管理，同时可根据预设条件进行人员推荐。 <!-- -->,部分响应,不良事件与故障工单闭环已备；投诉调解诉讼专项为医务深化
3453,支持对投诉记录的调解处理，包含院方代表、调解时间、调解地点、院方法律人员、患方法律人员、调解结果等信息记录。,部分响应,不良事件与故障工单闭环已备；投诉调解诉讼专项为医务深化
3454,支持对调解不成功的记录进行诉讼处理，包含诉讼结果、诉讼时间等信息记录。,部分响应,不良事件与故障工单闭环已备；投诉调解诉讼专项为医务深化
3456,支持对处理结果的记录。,功能等效,不良事件/故障工单均含处置结果与留痕字段
3481,按照需要的信息选择并填写专著的主要内容进行保存。主要填写内容包含专著的图书名称、出版年份、附件、报销情况等。 +------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,科研台账 sr_item（项目/知识产权转化/报销留痕，已审禁改删 4763）
3496,支持完整记录每一条数据的处理过程，包括操作时间、操作人、操作类型等信息，形成详细的操作日志。 +--------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,写操作全量审计 sys_audit_log（用户/路径/敏感过滤）
3500,系统支持批量审核与多级审核流程，满足不同医院的审核管理需求。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,数据填报审批 + OA 审批流转已备多级审核
3511,疾病动作关联模块实现了疾病类型与已定义动作的深度绑定，构建起完整的疾病全过程管理模型。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,临床路径（入径/变异）+ 单病种（ICD 前缀入组）已备；病种动作引擎为深化
3512,根据不同疾病类型的特点，关联相应的动作序列，明确动作在疾病诊疗过程中的参考执行顺序和要求。 +---------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,临床路径（入径/变异）+ 单病种（ICD 前缀入组）已备；病种动作引擎为深化
3516,支持业务系统根据病种挂载相应的病种动作，确保各业务环节紧密围绕病种管理要求开展工作。 +------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,临床路径（入径/变异）+ 单病种（ICD 前缀入组）已备；病种动作引擎为深化
3530,能够按身份证号进行身份数据资料识别。 +----------------------------------------------------------------------------------------+,功能等效,EMPI 按证件号识别（推算性别生日、同证件号幂等）
3534,能够对相似度较高的数据资料进行合并。 +----------------------------------------------------------------------------------------+,部分响应,EMPI 同证件号自动归一已备；模糊相似度合并为主索引深化
3536,能够连接身份证读卡器进行身份证数据资料读取。 +----------------------------------------------------------------------------------------+,涉外部条件,读卡设备对接；EMPI 按证件号识别/合并已具备（platform/empi）
3537,能够卡的新建、注销、启用、停用等行为。 +----------------------------------------------------------------------------------------+,涉配套产品,一卡通系统参数；平台账户体系走 EMPI+患者端
3538,能够对卡进行挂失，补办等功能。 +----------------------------------------------------------------------------------------+,涉配套产品,院内一卡通系统与设备；平台聚合支付 PayAdapter 与患者端缴费已备
3543,能够浏览卡的交易明细数据资料。 +----------------------------------------------------------------------------------------+,涉配套产品,院内一卡通系统与设备；平台聚合支付 PayAdapter 与患者端缴费已备
3544,能够卡账户退现和转账功能。 +----------------------------------------------------------------------------------------+,涉配套产品,院内一卡通系统与设备；平台聚合支付 PayAdapter 与患者端缴费已备
3564,能够常用功能的快捷键行为。 +------------------------------------------------------------------------------------------------------------------------------------------+,功能等效,标准 Web 交互原生支持；医嘱复制既往方案已备
3577,退号能够连续行为，能够退号处理操作。 +------------------------------------------------------------------------------------------------------------------------------------------+,功能等效,医生站接诊队列多患者切换；加号=排班容量调整；退号联动收费拦截（3006）；转科已备
3716,系统具备票据分配、领用、审核等全流程管理功能，支持对票据的使用情况进行跟踪和控制。 +----------------------------------------------------------------------------------------------------------------+,部分响应,收费票据打印数据集已备；票据号段领用管理为财务深化
3742,工作其他数据资料：包含办公电话、是否卫生应当急专家、卫生应当急专家类别、卫生应当急专业、---级学科代码、是否规培生、聘用方式、来院方式、所学专业代码等数据资料。 +---------------------------------------------------------------------------------------------------------------------,部分响应,HR 员工档案已备核心字段；执业注册/家庭成员等扩展字段为深化（hr_employee 可扩列）
3743,医务数据资料：包含资格证书编码、执业证书编码、执业范围、执业注册地、医师类别、是否多地点执业医师、第2执业单位代码、第3执业单位代码等数据资料。 +------------------------------------------------------------------------------------------------------------------------------,部分响应,HR 员工档案已备核心字段；执业注册/家庭成员等扩展字段为深化（hr_employee 可扩列）
3746,考核奖惩：包含年度、考核结果、备注、荣誉名称、颁发机构、获得时间、附件、处罚时间、处罚机构、处罚内容等数据资料。 +----------------------------------------------------------------------------------------------------------------------------------------------,功能等效,HR 员工档案/培训台账/继续教育学分/资质台账（90 天预警）+ 医务奖惩可由 hr_employee 扩展字段承载；带教/借阅为深化字段
3747,教育经历：包含开始时间、结束时间、学校、所学专业、教育类别、学历、学位、学位获取时间、学制及证明人等数据资料。 +-----------------------------------------------------------------------------------------------------------------------------------------------,部分响应,HR 员工档案已备核心字段；执业注册/家庭成员等扩展字段为深化（hr_employee 可扩列）
3751,家庭成员数据资料：包含与本人关系、姓名、工号、出生日期、政治面貌、单位/职务、电话、紧急联系人、本院职工等数据资料。 +--------------------------------------------------------------------------------------------------------------------------------------------,部分响应,HR 员工档案已备核心字段；执业注册/家庭成员等扩展字段为深化（hr_employee 可扩列）
3758,拥有对劳动合同、见习合同等进行新签、续签、启用、废弃等管控功能。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,HR 招聘登记已备；合同新签续签台账为深化项
3783,拥有简历填写页面供应当聘者填写相关数据资料。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,HR 招聘登记已备；合同新签续签台账为深化项
3784,并进行已读标记，拥有对应当聘者简历进行处理操作的功能。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,HR 招聘登记已备；合同新签续签台账为深化项
3797,汇总之后，若数量存在疑问，支持修改数量。 +--------------------------------------------------------------------------------------------------------------------------+,功能等效,采购验收支持补录/调整（发票补/调 4693）
3812,系统提供接受功能，必选接受才能使用。 +--------------------------------------------------------------------------------------------------------------------------+,功能等效,单据链验收/接收动作已备（采购/调拨/CSSD）
3824,提供盈亏情况填写的功能。 +--------------------------------------------------------------------------------------------------------------------------+,功能等效,采购单据链（备货→审核→验收补/调发票→退货，作废还原）+ 物资进销存；核价=价格调整留痕 price_change_log
3829,提供初步评估故障功能。 +---------------------------------------------------------+,功能等效,运维中心故障工单台账（ops_fault_ticket 分级/处置闭环）
3864,提供汇总数量修改功能。 +------------------------------------------------------------+ 订单管理 +------------------------------------------------------------+,功能等效,采购单据链（备货→审核→验收补/调发票→退货，作废还原）+ 物资进销存；核价=价格调整留痕 price_change_log
3874,提供接受与拒绝接受功能。 +------------------------------------------------------------+,功能等效,采购单据链（备货→审核→验收补/调发票→退货，作废还原）+ 物资进销存；核价=价格调整留痕 price_change_log
3880,提供验收通过和不通过的记录功能。 +------------------------------------------------------------+,功能等效,采购单据链（备货→审核→验收补/调发票→退货，作废还原）+ 物资进销存；核价=价格调整留痕 price_change_log
3907,支持核价功能。,功能等效,采购单据链（备货→审核→验收补/调发票→退货，作废还原）+ 物资进销存；核价=价格调整留痕 price_change_log
3955,提供采购申请单创建功能。 +--------------------------------------------------------------------------------+,功能等效,采购单据链（备货→审核→验收补/调发票→退货，作废还原）+ 物资进销存；核价=价格调整留痕 price_change_log
3957,提供采购申请单审核功能。 +--------------------------------------------------------------------------------+,功能等效,采购单据链（备货→审核→验收补/调发票→退货，作废还原）+ 物资进销存；核价=价格调整留痕 price_change_log
3963,提供资产自动折旧功能。 +--------------------------------------------------------------------------------+,功能等效,资产直线折旧/净值/价值调整/折旧明细（/hrp/assets，as_value_adjust）
3965,提供折旧历史，明细查看功能。 +--------------------------------------------------------------------------------+,功能等效,资产直线折旧/净值/价值调整/折旧明细（/hrp/assets，as_value_adjust）
3979,提供上传各类型资产文档功能。 +--------------------------------------------------------------------------------+,功能等效,资产附件台账 as_asset_doc；OA 附件与制度文件库
3996,支持显示器械列表，并可记录丢失的器械信息。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,CSSD 四环节追溯链已备（回收→清洗→灭菌→发放，越级拦截）；器械明细/丢失登记为深化项
3997,支持回收时扫描或输入工人条码。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,CSSD 四环节追溯链已备（回收→清洗→灭菌→发放，越级拦截）；器械明细/丢失登记为深化项
4001,支持选择清洗设备与包进行关联。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,CSSD 四环节追溯链已备（回收→清洗→灭菌→发放，越级拦截）；器械明细/丢失登记为深化项
4015,支持记录具体的使用病人及器械包的明细内容。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,CSSD 四环节追溯链已备（回收→清洗→灭菌→发放，越级拦截）；器械明细/丢失登记为深化项
4029,提供筛选功能。 +----------------------------------------------------------------+,功能等效,各列表页均备关键字/条件筛选（结账明细检索等）
4057,能够直接行为进行办理，显示我的待办列表。 +----------------------------------------------------------------------------------------------------------------------------------------+,功能等效,OA 审批待办 + 工单台账即待办视图
4059,包括：新建、转发、答复、抄送等功能，能够通用邮件功能，并能够能够上传多个附件，我的邮箱：予以完成单位内部工作人员之间的相互交流。 +--------------------------------------------------------------------------------------------------------------------------------------,涉配套产品,流程设计器/公文/邮件属 OA 产品；平台 OA 已备审批流转、我发起的、制度文件库（/hrp/ops）
4063,会议室申请：包括会议室申请、会议室管控、会议室使用情况浏览功能。 +----------------------------------------------------------------------------------------------------------------------------------------+,涉配套产品,流程设计器/公文/邮件属 OA 产品；平台 OA 已备审批流转、我发起的、制度文件库（/hrp/ops）
4065,我的附件：管控个人已上传到平台信息系统中的附件。 +----------------------------------------------------------------------------------------------------------------------------------------+ 我的业务流程 +----------------------------,功能等效,资产附件台账 as_asset_doc；OA 附件与制度文件库
4068,我发起的业务流程：由当前行为人员发起的业务流程。 +----------------------------------------------------------------------------------------------------------------------------------------+,功能等效,OA「我发起的」视图已实现（三十六期）
4069,抄送给我的业务流程：业务流程选择抄送给当前行为人员的业务流程。 +----------------------------------------------------------------------------------------------------------------------------------------+,部分响应,OA 审批流转已备；抄送/追回为流程引擎深化
4070,并且能够再次发起，我取回的业务流程：取回由行为人员发起的业务流程。 +----------------------------------------------------------------------------------------------------------------------------------------+ 公文管控 +---------------------,部分响应,OA 审批流转已备；抄送/追回为流程引擎深化
4071,公文发文：公文发文业务流程管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,涉配套产品,流程设计器/公文/邮件属 OA 产品；平台 OA 已备审批流转、我发起的、制度文件库（/hrp/ops）
4074,业务流程管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,功能等效,OA 审批流转管理（发起/审批/驳回/留痕）
4075,业务流程设计：包括业务流程图设计、业务流程监听管控、业务流程表达式管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,涉配套产品,流程设计器/公文/邮件属 OA 产品；平台 OA 已备审批流转、我发起的、制度文件库（/hrp/ops）
4077,业务流程实例：能够对当前未办结的业务流程进行挂起、关闭、委派其他人执行操作、跳转等行为。 +----------------------------------------------------------------------------------------------------------------------------------------+,涉配套产品,流程设计器/公文/邮件属 OA 产品；平台 OA 已备审批流转、我发起的、制度文件库（/hrp/ops）
4085,职务管控：对平台信息系统中所有职务数据资料进行管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,功能等效,用户职称/职务字段（sys_user.title）+ 角色体系
4086,数据资料字典：数据资料字典的管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,功能等效,数据元管理（WS 363 框架，dg_data_element）+ 各业务字典页
4091,平台信息系统监测。 +----------------------------------------------------------------------------------------------------------------------------------------+,功能等效,运维中心健康概览（DB/磁盘/备份时效/慢接口/告警联动）
4094,我的邮箱：包括写邮件、收件箱、发件箱、草稿箱、垃圾箱等功能。 +----------------------------------------------------------------------------------------------------------------------------------------+,涉配套产品,流程设计器/公文/邮件属 OA 产品；平台 OA 已备审批流转、我发起的、制度文件库（/hrp/ops）
4099,我的附件：对已上传的附件数据资料进行浏览。 +----------------------------------------------------------------------------------------------------------------------------------------+ （2） 我的流程 +-----------------------------,功能等效,资产附件台账 as_asset_doc；OA 附件与制度文件库
4103,且下一业务流程任务环节未执行操作的业务流程进行追回，业务流程追回：行为人员对已执行操作到下一业务流程任务环节。 +----------------------------------------------------------------------------------------------------------------------------------------+,部分响应,OA 审批流转已备；抄送/追回为流程引擎深化
4169,我的医院：医生可以在这里查看绑定的医院，如果绑定了多个医院，也可以切换医院。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------,涉配套产品,互联网医院医生 APP 产品参数；平台移动工作台 /m 已提供院内 H5
4170,工号修改：医生HIS工号发生变化时，可以修改绑定的工号。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------,涉配套产品,互联网医院医生 APP 产品参数；平台移动工作台 /m 已提供院内 H5
4171,网络切换：根据医院情况，支持内外网切换。部分功能在内网下不可使用。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------,涉配套产品,互联网医院医生 APP 产品参数；平台移动工作台 /m 已提供院内 H5
4232,结合智慧医院的建设标准，医院可以在对应的管理后台对反馈进行答复。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,满意度调查 + 故障工单处置答复闭环
4289,120专线1条，规格：100M。租赁服务期限36个月。,非参数（网络租赁服务）,网络线路租赁属服务采购项，非软件参数
4290,电子政务外网1条，规格：100M。租赁服务期限36个月。,非参数（网络租赁服务）,网络线路租赁属服务采购项，非软件参数
4291,金财网1条，规格：100M。租赁服务期限36个月。,非参数（网络租赁服务）,网络线路租赁属服务采购项，非软件参数
