序号,实质性★,重要▲,参数摘要,响应结论,响应说明
424,,,按照国家卫生计生委抗菌药物临床应用管理数据上报相关要求，支持床位使用率（%）、门诊量（人次）、急诊量（人次）、I类切口手术病人出院人次、抗菌药物使用率、抗菌药物使用强度（100人/日）、接受抗菌药物治疗的住院患者抗菌药物使用前微生物检验样本送检率（%）等指标的统计。 报表清单：,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
425,,,医疗机构一般情况调查；,部分响应,平台当前提供数据上报任务登记基础能力（任务名称、截止日期、自定义填报项）。本条所述医疗机构一般情况调查表的固定填报结构与自动取数尚未提供，列入后续开发计划。
426,,,临床科室指标持续改进情况；,部分响应,平台当前提供全院级运营指标快照（含抗菌药物处方比例等出厂指标）。本条所述临床科室指标持续改进情况表（科室维度指标及改进跟踪）尚未提供，列入后续开发计划。
427,,,住院患者抗菌药物使用量排名前10种品种；,部分响应,平台当前提供门诊口径的全药品使用排名 TOP30，护理质量指标中提供住院抗菌药物医嘱数单值。本条所述住院患者抗菌药物使用量排名前 10 种品种尚未提供，列入后续开发计划。
428,,,抗菌药物分级管理目录；,部分响应,已提供：抗菌药物分级管理目录查询（药品名称及分级），并用于医生站抗菌药物处方权限控制。尚未提供：①分级信息在页面上的新增、修改、删除维护；②规格、剂型、给药途径等上报表字段；③上报表格式与导出。上述缺项列入后续开发计划。
429,,,临床微生物标本送检率；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
430,,,医疗机构药品经费使用情况调查表；,部分响应,已提供：药事分析模块「经费调查表」按月给出西药、中成药、抗菌药物及合计金额。尚未提供：①住院药品经费纳入，当前为门诊口径；②时间范围条件，当前固定近 12 个月；③药品总收入、药品总支出、占业务收入比等调查表规定列；④报表导出。上述缺项列入后续开发计划。
431,,,医疗机构抗菌药物品种、规格和使用量统计调查表；,部分响应,已提供：药事分析模块按品种给出使用数量、使用金额并标识抗菌药物，可近似品种与使用量统计。尚未提供：①规格列；②抗菌药物单独筛选，当前与普通药品混列；③住院用量纳入，当前为门诊口径；④调查表格式与导出。上述缺项列入后续开发计划。
432,,,医疗机构抗菌药物临床应用指标数据上报表；,部分响应,已提供：抗菌药物使用强度（AUD，含国考阈值提示）与抗菌药物处方比例（门诊）两项指标。尚未提供：①使用强度当前为过渡口径（分子取门诊消耗量、分母取住院床日），尚不满足上报口径；②住院抗菌药物使用率、送检率、I 类切口预防用药率等上报表其余指标；③上报表结构与导出。上述缺项列入后续开发计划。
433,,,医疗机构I类切口手术用药情况调查表（综合医院）；,部分响应,本条所述医疗机构 I 类切口手术用药情况调查表（综合医院）当前版本未提供（手术记录尚无切口类别字段，无围手术期预防用药统计），列入后续开发计划。
434,,,医疗机构I类切口手术用药情况调查表（儿科医院）；,部分响应,本条所述医疗机构 I 类切口手术用药情况调查表（儿科医院）当前版本未提供，列入后续开发计划。
435,,,医疗机构I类切口手术用药情况调查表（妇产科医院）；,部分响应,本条所述医疗机构 I 类切口手术用药情况调查表（妇产科医院）当前版本未提供，列入后续开发计划。
436,,,医疗机构I类切口手术用药情况调查表（口腔医院）；,部分响应,本条所述医疗机构 I 类切口手术用药情况调查表（口腔医院）当前版本未提供，列入后续开发计划。
437,,,医疗机构I类切口手术用药情况调查表（肿瘤医院）。 抗肿瘤药物专项（2张） 概述： 提供门诊及住院抗肿瘤药物使用情况的统计指标，包括抗肿瘤药物总金额、抗肿瘤药物处方数、出院患者抗肿瘤药物使用人次数等统计指标。\ 指标：,部分响应,本条所述医疗机构 I 类切口手术用药情况调查表（肿瘤医院）当前版本未提供。抗肿瘤药物专项 2 张报表因药品字典尚未设置抗肿瘤药物标识与分级，当前版本未提供。上述缺项列入后续开发计划。
438,,,支持按照机构/科室/医生维度查看门诊抗肿瘤药物总金额、抗肿瘤药物金额占比(%)、普通使用级抗肿瘤药物使用金额、普通使用级抗肿瘤药物使用金额占比(%)等指标；,部分响应,平台当前药品字典提供抗菌药物分级与中西药分类，尚无抗肿瘤药物标识与分级。本条所述按机构/科室/医生维度查看门诊抗肿瘤药物总金额及占比、普通使用级抗肿瘤药物金额及占比当前版本未提供，列入后续开发计划。
439,,,支持按照机构/科室/病区/医疗组维度查看住院抗肿瘤药物使用总金额、抗肿瘤药物使用总金额占比（%）、人均抗肿瘤药物费用、普通使用级抗肿瘤药物使用金额等指标。 报表清单：,部分响应,本条所述按机构/科室/病区/医疗组维度查看住院抗肿瘤药物使用总金额及占比、人均抗肿瘤药物费用、普通使用级抗肿瘤药物金额功能当前版本未提供（抗肿瘤药物标识、住院药品统计与病区/医疗组维度均待建设），列入后续开发计划。
440,,,门诊抗肿瘤药物临床使用情况汇总；,部分响应,平台当前在药事分析模块提供门诊口径的按药品使用统计基础能力。本条所述门诊抗肿瘤药物临床使用情况汇总报表因药品字典尚无抗肿瘤药物标识，当前版本未提供，列入后续开发计划。
441,,,住院抗肿瘤药物临床使用情况汇总。 清单报表（2张） 概述： 按照国家卫生计生委办公厅关于进一步加强抗菌药物临床应用管理遏制细菌耐药的通知，提供碳青霉烯、替加环素及含酶抑制剂使用情况清单报表。 指标：,部分响应,平台当前提供药事分析基础能力（门诊用药排名、中西药构成、抗菌药物使用强度 DDDs、月度用药经费统计）。本条所述住院抗肿瘤药物临床使用情况汇总，以及碳青霉烯类、替加环素及含酶抑制剂复合制剂使用情况专项清单报表尚未提供，列入后续开发计划。
442,,,支持统计并展示门急诊处方及出院患者使用碳青霉烯、替加环素及含酶抑制剂的使用情况，包括姓名、病历号、用药主要诊断等指标。 报表清单：,部分响应,平台当前提供药事分析基础能力（门诊用药排名、中西药构成、抗菌药物使用强度 DDDs、月度用药经费统计）。本条所述按门急诊处方及出院患者统计碳青霉烯类、替加环素及含酶抑制剂使用情况（含患者姓名、病历号、用药主要诊断）的专项报表尚未提供，药品字典亦尚未建立上述药品亚类标识，列入后续开发计划。
443,,,碳青霉烯类抗菌药物及替加环素使用情况信息表；,部分响应,平台当前提供药事分析基础能力（门诊用药排名、中西药构成、抗菌药物使用强度 DDDs、月度用药经费统计）。本条所述碳青霉烯类抗菌药物及替加环素使用情况信息表尚未提供，列入后续开发计划。
444,,,含酶抑制剂复合制剂使用情况表。 实际使用统计（3张） 概述： 支持根据出院患者的实际药品开具科室进行相关数据统计。 指标：,部分响应,平台当前提供药事分析基础能力（门诊用药排名、中西药构成、抗菌药物使用强度 DDDs、月度用药经费统计）。本条所述含酶抑制剂复合制剂使用情况表，以及按出院患者药品实际开具科室口径的实际使用统计报表尚未提供，列入后续开发计划。
445,,,支持按照机构/科室/病区/医疗组维度查看根据药品实际开具科室统计并展示出院患者的用药情况，包括用药人次、用药总金额、国家基药品种数等指标；,部分响应,平台当前提供药事分析基础能力，可按药品统计门诊用药数量与金额。本条所述按机构/科室/病区/医疗组维度、按药品实际开具科室口径统计出院患者用药人次、用药总金额的报表尚未提供；药品字典尚未建立国家基本药物标识，国家基药品种数指标尚无数据基础。上述缺项列入后续开发计划。
446,,,支持查看全院范围内患者是药品使用情况，包括使用数量、使用金额、使用量（DDDs）等指标；,部分响应,平台已提供：药事分析页按药品统计使用数量、使用金额，并按抗菌药物折算全院 DDDs 合计。尚未提供：①DDDs 指标仅为抗菌药物合计值，未按具体药品逐行展示；②统计范围目前仅覆盖门诊用药，住院用药尚未纳入，未达到全院口径。上述缺项列入后续开发计划。
447,,,支持按照机构/科室/病区维度查看根据药品实际开具科室统计并展示出院患者的药品使用情况，包括具体药品的使用人次、使用数量、使用金额、使用量（DDDs）等指标。 报表清单：,部分响应,平台当前提供药事分析基础能力（门诊按药品统计使用数量与金额、抗菌药物 DDDs 合计）。本条所述按机构/科室/病区维度、按药品实际开具科室口径统计出院患者各药品使用人次、数量、金额及 DDDs 的报表尚未提供，列入后续开发计划。
448,,,住院药品使用分析；,部分响应,平台当前提供门诊药事分析基础能力（门诊用药排名、中西药构成、抗菌药物使用强度、月度用药经费统计）。本条所述住院药品使用分析（按药品、科室等维度对住院用药进行汇总分析）尚未提供，列入后续开发计划。
449,,,全院药品使用情况分析；,部分响应,平台已提供：药事分析页的用药排名、中西药构成（品种数、数量、金额）、抗菌药物使用强度 DDDs、月度用药经费统计。尚未提供：①统计范围仅覆盖门诊，住院用药尚未纳入，未达到全院口径；②无国家基药指标、DDDs 未按药品展开、无科室维度；③无时间范围选择与报表导出。上述缺项列入后续开发计划。
450,,,住院药品使用情况分析。 含在院使用统计（5张） 概述： 支持根据业务实际发生日期的收费数据统计医疗机构内的药品使用相关数据。 指标：,部分响应,平台当前提供门诊药事分析基础能力（门诊用药排名、中西药构成、抗菌药物使用强度、月度用药经费统计）。本条所述住院药品使用情况分析，以及按业务实际发生日期收费数据统计的含在院药品使用报表尚未提供，列入后续开发计划。
451,,,支持根据业务实际发生日期的收费数据统计并展示全院的用药总金额、药品品种数、国家基药品种数、国家基药品种数占比（%）、国家基药金额等指标；,部分响应,平台已提供：药事分析页按月汇总用药总金额，并统计药品品种数。尚未提供：①国家基药品种数、基药品种数占比、基药金额三项指标，药品字典尚未建立基本药物标识；②当前统计基准为处方开立时间而非收费实际发生日期，且仅覆盖门诊，未含住院在院用药。上述缺项列入后续开发计划。
452,,,支持根据业务实际发生日期的收费数据统计，按照机构/科室/病区/医疗组维度查看，包括国家基药品种数、国家基药累计品种数、国家基本药物金额等指标；,部分响应,平台当前提供药事分析基础能力（门诊用药金额与品种数统计）。本条所述按机构/科室/病区/医疗组维度、以收费实际发生日期为基准统计国家基药品种数、累计品种数及国家基本药物金额的报表尚未提供，药品字典亦尚未建立基本药物标识，列入后续开发计划。
453,,,支持根据业务实际发生日期的收费数据统计并查看全院范围内患者药品使用情况，包括使用数量、使用金额、使用量（DDDs）等指标；,部分响应,平台当前提供药事分析基础能力（门诊按药品统计使用数量与金额、抗菌药物 DDDs 合计）。本条所述以收费实际发生日期为基准、覆盖全院范围并按药品展开 DDDs 的患者药品使用情况统计尚未提供，列入后续开发计划。
454,,,支持根据业务实际发生日期的收费数据统计，按照机构/科室/病区维度查看，包括使用数量、使用金额、使用量（DDDs）等指标；,部分响应,平台当前提供药事分析基础能力（门诊按药品统计使用数量与金额、抗菌药物 DDDs 合计）。本条所述以收费实际发生日期为基准、按机构/科室/病区维度统计使用数量、使用金额及 DDDs 的报表尚未提供，列入后续开发计划。
455,,,支持根据业务实际发生日期的收费数据统计，按医生查看用药数量、抗菌药物使用数量、抗菌药物使用数量占药品使用比例(%)、用药总金额等指标。 报表清单：,部分响应,平台当前提供按医生的门诊工作量统计基础能力。本条所述以收费实际发生日期为基准、按医生统计用药数量、抗菌药物使用数量及占比、用药总金额的报表尚未提供，列入后续开发计划。
456,,,全院药品使用分析（含在院）；,部分响应,平台当前提供门诊药事分析基础能力（门诊用药排名、中西药构成、抗菌药物使用强度、月度用药经费统计）。本条所述含在院口径的全院药品使用分析（按收费实际发生日期统计在院患者用药）尚未提供，住院在院用药数据尚未纳入任何药事统计，列入后续开发计划。
457,,,住院用药使用分析（含在院）；,部分响应,平台当前提供门诊药事分析基础能力。本条所述含在院口径的住院用药使用分析（按收费实际发生日期统计在院患者用药）尚未提供，住院在院用药数据尚未纳入任何药事统计，列入后续开发计划。
458,,,全院药品使用情况分析（含在院）；,部分响应,平台当前提供门诊药事分析基础能力（门诊用药排名、中西药构成、抗菌药物使用强度、月度用药经费统计）。本条所述含在院口径的全院药品使用情况分析尚未提供，住院在院用药数据尚未纳入药事统计，列入后续开发计划。
459,,,住院药品使用情况分析(含在院)；,部分响应,平台当前提供门诊药事分析基础能力。本条所述含在院口径的住院药品使用情况分析尚未提供，住院在院用药数据尚未纳入药事统计，列入后续开发计划。
460,,,全院医生用药排名(含在院)。 住院患者静脉输液使用监测指标调查表（2张） 概述： 按照关于开展住院患者静脉输液使用情况抽样调查的函-国卫医质控便函（2022）8号文件，支持使用静脉输液的住院患者数、住院患者使用静脉输液床日数等指标的统计。 指标：,部分响应,平台当前提供门诊药事分析基础能力及按医生的门诊工作量统计。本条所述含在院口径的全院医生用药排名，以及依据国卫医质控便函（2022）8 号开展的住院患者静脉输液使用监测指标调查表尚未提供，列入后续开发计划。
461,,,支持根据患者出院日期按科室统计并展示使用静脉输液的住院患者数、住院患者使用静脉输液床日数、住院患者使用静脉输液的数量（袋/瓶）、住院患者使用静脉输液的体积（L）等指标；,部分响应,平台当前提供门诊护士站输液执行管理基础能力（执行业务环节）。本条所述按患者出院日期、按科室统计使用静脉输液的住院患者数、静脉输液床日数、输液数量（袋/瓶）及输液体积（L）的监测报表尚未提供，相关统计数据结构尚未建立，列入后续开发计划。
462,,,支持根据患者出院日期按病种统计并展示使用静脉输液的住院患者数、住院患者使用静脉输液床日数、住院患者使用静脉输液的数量（袋/瓶）、住院患者使用静脉输液的体积（L）等指标。 报表清单：,部分响应,平台当前提供门诊护士站输液执行管理基础能力（执行业务环节）。本条所述按患者出院日期、按病种统计使用静脉输液的住院患者数、静脉输液床日数、输液数量（袋/瓶）及输液体积（L）的监测报表尚未提供，列入后续开发计划。
463,,,（科室）住院患者静脉输液使用监测指标调查表；,部分响应,本条所述（科室）住院患者静脉输液使用监测指标调查表当前版本未提供，住院静脉输液使用监测相关统计数据结构尚未建立，列入后续开发计划。
464,,,（病种）住院患者静脉输液使用监测指标调查表。 自定义报表功能,部分响应,本条所述（病种）住院患者静脉输液使用监测指标调查表当前版本未提供，住院静脉输液使用监测相关统计数据结构尚未建立，列入后续开发计划。
465,,,支持用户选择按机构、按药品、按问题类型、按手术新增自定义报表，覆盖医院用药数据统计的所需维度。,部分响应,平台已提供：数据治理模块「报表引擎」支持新增自定义报表（录入报表名称与只读查询语句）并在线运行预览结果。尚未提供：①按机构、按药品、按问题类型、按手术的维度化报表新增向导，当前需以查询语句方式定义；②机构维度与用药问题类型维度的数据基础尚未建立。上述缺项列入后续开发计划。
466,,,系统提供出院、实际、含在院三个统计维度，支持用户设定自定义报表的数据统计维度。出院维度：根据出院患者的出院科室统计用药数据；实际维度：根据出院患者的药嘱开具科室统计用药数据；含在院：根据业务发生日期的收费数据统计相关的用药数据。,部分响应,平台当前在数据治理模块提供报表引擎基础能力（新增自定义报表并在线运行预览）。本条所述出院维度（按出院科室）、实际维度（按药嘱开具科室）、含在院维度（按业务发生日期收费数据）三种统计维度的设定尚未提供，列入后续开发计划。
467,,,系统提供全院、门急诊、住院三个维度，支持用户设定自定义报表的统计数据来源，覆盖医院用药数据统计的来源选择；门急诊维度：统计数据来源为门诊或急诊的患者用药数据；住院维度：当统计维度为出院及含在院时则统计数据来源是出院患者的用药数据，当统计维度为含在院则统计收费数据中来源为住院的用药数据。,部分响应,平台当前在数据治理模块提供报表引擎基础能力（新增自定义报表并在线运行预览）。本条所述全院、门急诊、住院三种统计数据来源的可选设定，及其与统计维度的联动规则尚未提供，列入后续开发计划。
468,,,系统提供月、季、年三个报表自动生成周期，支持用户设定自定义报表的自动生成周期，还支持手动选择时间范围生成报表数据，满足医院用药数据统计的时间范围选择。,部分响应,平台当前在数据治理模块提供报表引擎基础能力（新增自定义报表并在线运行预览）。本条所述月、季、年三种自动生成周期的设定，以及手动选择时间范围生成报表数据的功能尚未提供，列入后续开发计划。
469,,,支持用户预览、修改、删除、复制、移动自定义报表，并支持对自定义报表分类管理。,部分响应,平台已提供：自定义报表列表查看与在线运行预览。尚未提供：自定义报表的修改、删除、复制、移动，以及报表分类管理。上述缺项列入后续开发计划。
470,,,系统提供标准出厂指标，用户可直接选择出厂指标组合成新的自定义报表，同时系统支持用户自定义常用维度的统计指标、计算指标、手工指标。,部分响应,平台已提供：数据治理模块内置标准出厂指标库（含药占比、抗菌药物处方占比、平均住院日等指标），可查看指标定义与快照结果。尚未提供：①出厂指标直接选取组合为新的自定义报表，当前报表引擎与指标库尚未打通；②用户自定义统计指标、计算指标、手工指标三类指标模型。上述缺项列入后续开发计划。
471,,,统计指标：支持用户个性化设定药品属性、药品分类、问题类型条件，用于筛选并统计满足条件的处方数、处方人次、出院人次、用药人次、问题发生数、处方金额、药品金额、品规数、累计品规数、品种数、累计品种数、医嘱条目数、使用量（DDDS）。,部分响应,平台当前提供内置标准指标库基础能力（指标由系统预置）。本条所述用户按药品属性、药品分类、问题类型条件自定义统计指标，并统计处方数、处方人次、出院人次、用药人次、问题发生数、处方金额、药品金额、品规数、品种数、医嘱条目数、DDDs 等指标的功能尚未提供，列入后续开发计划。
472,,,计算指标：支持用户选择多个相同数据来源的指标进行运算，实现个性化配置所需的计算指标。,部分响应,平台当前提供内置标准指标库基础能力（指标由系统预置）。本条所述用户选择多个同数据来源指标进行运算、配置计算指标的功能尚未提供，列入后续开发计划。
473,,,手工指标：支持用户增加手工指标，用于展示无法统计或计算的相关内容，提供手工指标页面输入结果数据功能。,部分响应,平台当前提供通用数据填报与审批流程基础能力（下发填报任务、人工填写、审批）。本条所述与自定义报表关联的手工指标（新增手工指标、在报表中以指标行形式录入结果数据）尚未提供，现有填报流程与指标库、报表引擎尚未打通，列入后续开发计划。
474,,,支持编辑调整自定义报表的格式，可设置表头、表尾、单元格合并及指标排序。 其他功能,部分响应,平台当前在数据治理模块提供报表引擎基础能力（按查询结果列直接展示）。本条所述自定义报表格式编辑（表头、表尾、单元格合并、指标排序设置）尚未提供，列入后续开发计划。
475,,,支持报表按机构》科室》医生（或医疗组）的下钻展示，并支持按条件筛选报表统计结果。,部分响应,平台当前在数据治理模块提供报表引擎基础能力（在线运行预览）。本条所述按机构、科室、医生（或医疗组）逐级下钻展示，以及按条件筛选报表统计结果的功能尚未提供，机构维度数据基础亦尚未建立，列入后续开发计划。
476,,,支持按月、季度、年自动生成周期性报表，同时支持用户手动生成非周期性报表数据。,部分响应,平台已提供：科室月报、按医保类型与费用类别的月度费用报表、日报，用户可手动选择月份即时生成，即满足手动生成非周期性报表及月粒度。尚未提供：季度报表、年度报表，以及按月、季、年定时自动生成并归档的周期性报表机制。上述缺项列入后续开发计划。
477,,,支持在线调整报表的显示内容，包括显示哪些指标及指标显示顺序。,部分响应,平台当前各统计报表页面（费用报表、日报、科室月报等）的展示指标为固定配置。本条所述用户在线调整报表显示指标及指标显示顺序的功能尚未提供，列入后续开发计划。
478,,,支持具体指标统计结果的点击排序。,部分响应,平台当前各统计报表结果按固定顺序展示。本条所述对具体指标统计结果点击列头排序的功能尚未提供，列入后续开发计划。
479,,,支持点评数据有变化时，提醒用户重新生成报表。,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
480,★,,支持报表导出，导出格式为excel格式，支持配置报表查看、报表生成、报表管理、报表填写的用户权限。 +-------------------------------+---------------------------------------------------------------------------------------------------------------------,部分响应,平台当前在科室月报、病案质控等统计页面提供 CSV 格式导出基础能力。本条所述自定义报表的 Excel 格式导出，以及报表查看、报表生成、报表管理、报表填写四类报表级用户权限配置尚未提供，列入后续开发计划。
481,,,系统提供审方药师门诊审方工作平台，支持审方药师在患者缴费前完成门诊处方的实时审查。,部分响应,平台已提供：门诊审方工作台（药师角色），待审队列取自尚未缴费的处方药品，药师可逐条通过或拒绝并记录拒绝原因。尚未提供：①审方为非强制模式，未经审核的处方仍可缴费，尚不能保证在缴费前完成审查；②审查粒度为药品明细行，尚不支持按整张处方审查；③无系统自动审查警示与审方方案。上述缺项列入后续开发计划。
482,,,系统提供审方药师住院审方工作平台，支持审方药师在医嘱调剂前完成住院医嘱的实时审查。,部分响应,平台当前提供门诊审方工作台基础能力（药师查看待审处方药品队列、逐条通过或拒绝并记录拒绝原因）。本条所述住院审方工作平台（医嘱调剂前对住院医嘱进行药师实时审查）尚未提供，列入后续开发计划。
483,,,系统按照预设的合理用药规则对处方/医嘱进行自动审查，包括过敏、禁忌症、适应症、特殊人群、配伍、相互作用、重复用药、给药途径、给药时机、给药剂量、给药频率、疗程审查等；再交由药师可选取全部或部分处方/医嘱进行人工审核；审方药师可将审核不合理的处方/医嘱打回到医生端，由医生进行双签或修改，直到处方/医嘱审核通过，进入调剂环节，实现审方药师的实时审方。 审方方案模式、权限设置,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
484,,,支持筛选需要审方药师人工审查的处方/医嘱：可按照院区、科室、病区、医生、药品、药品属性、诊断、警示信息等条件设置一个或多个审方方案，用于待审核处方/医嘱的过滤，确定待人工审核处方/医嘱任务；对于不符合方案设置的处方/医嘱，支持处方/医嘱自动通过审核。,部分响应,平台当前提供门诊审方工作台基础能力（待审处方药品队列、人工通过或拒绝）。本条所述按院区、科室、病区、医生、药品、药品属性、诊断、警示信息等条件配置审方方案以筛选待人工审核任务，以及不符合方案的处方/医嘱自动通过审核的功能尚未提供，列入后续开发计划。
485,,,支持根据患者年龄、患者病情严重状态设置筛选方案。,部分响应,平台当前在医生开立处方时提供年龄相关用药禁忌拦截基础能力。本条所述根据患者年龄、病情严重状态设置审方筛选方案的功能尚未提供，列入后续开发计划。
486,,,支持设置只审核静配医嘱。,部分响应,平台当前提供门诊审方工作台基础能力。本条所述静配医嘱标识及「只审核静配医嘱」的审方方案设置尚未提供，列入后续开发计划。
487,,,支持医院自定义特殊管控药品审方方案，例如重点监控药品、精麻药品等，必须经过人工审核才允许执行，不受超时时间限制。,部分响应,平台当前在药品字典提供抗菌药物分级属性，并在开立处方时进行分级权限拦截。本条所述医院自定义特殊管控药品审方方案（重点监控药品、麻醉精神类药品等必须经人工审核且不受超时时间限制）尚未提供，药品字典亦尚未建立重点监控、麻醉精神毒性放射性等特殊管控属性，列入后续开发计划。
488,,,支持在审方方案中设置药师工作日和具体工作时间，对于非药师工作时间的处方/医嘱，可自动通过审核，不影响处方/医嘱的执行；支持设置不同药师排班管理，以及对应工作时间提醒。,部分响应,平台当前提供门诊医生排班管理基础能力。本条所述在审方方案中设置药师工作日与工作时间、非工作时间处方/医嘱自动通过审核，以及药师排班管理与工作时间提醒尚未提供，列入后续开发计划。
489,,,支持设定等级的处方/医嘱自动驳回要求医生双签；支持设置需要审核医嘱但没有可审核药师时设置是否要求双签等。,部分响应,平台当前在知情同意书、医技报告审核等环节提供双人签名基础能力。本条所述审方环节按设定等级自动驳回并要求医生双签，以及无可审核药师时是否要求双签的设置尚未提供，列入后续开发计划。
490,,,门急诊支持可选择：按单张处方按患者合并当日所有处方或跨天跨就诊合并患者所有处方审查医生用药问题。,部分响应,平台当前门诊审方工作台按药品明细行逐条审查。本条所述按单张处方、按患者合并当日所有处方、跨天跨就诊合并患者所有处方三种审查方式的可选设置尚未提供，列入后续开发计划。
491,,,住院支持按患者审查或按组拆分审查，按患者审查即患者一次传入的医嘱为一个审查任务，按组拆分审查即患者一次传入的医嘱按组号拆分为多个审查任务，便于医院根据实际需要合理安排审方工作。,部分响应,平台当前提供门诊审方工作台基础能力，住院审方尚未提供。本条所述住院按患者审查或按组号拆分审查任务的可选设置尚未提供，列入后续开发计划。
492,,,支持设置药师的审方权限，可按照院区、科室、病区、处方类型、诊断、药品、属性等条件设置药师的审方权限，系统可根据药师权限将待审核处方/医嘱任务分配给有权限的审方药师。 审方页面展示,部分响应,平台当前按药师角色授权进入门诊审方工作台，所有药师查看同一待审队列。本条所述按院区、科室、病区、处方类型、诊断、药品、属性等条件细分药师审方权限，并按权限自动分配待审任务的功能尚未提供，列入后续开发计划。
493,,,支持审方页面一体化展示患者信息、处方/医嘱信息、检查检验信息、手术信息、电子病历信息、生命体征趋势图及系统自动审查结果。,部分响应,平台当前门诊审方工作台展示处方号、患者姓名、过敏史及药品名称、规格、用法、数量等处方信息。本条所述审方页面一体化展示检查检验信息、手术信息、电子病历信息、生命体征趋势图及系统自动审查结果尚未提供，列入后续开发计划。
494,,,支持在药师审核任务时，展示干预阶段医生预先填写的特别用药理由。,配套产品响应,【二级证据评审建议，待项目组签字】处方点评软件参数；平台审方工作台（reviewStatus 状态机）已备基础
495,,,支持药品使用监护点的突出展示，药品使用监护点即药师在审核某个药品的过程中需要重点关注信息，包括与药品适应症、疗效、禁忌症、不良反应等相关的检验指标、检查、生命体征和手术信息；支持查看检验指标趋势图，并支持异常检验指标的突出展示；有助于药师快速、全面、精准的审核处方/医嘱。,部分响应,平台当前门诊审方工作台展示患者过敏史与处方药品信息。本条所述药品使用监护点突出展示（关联适应症、疗效、禁忌症、不良反应的检验指标、检查、生命体征及手术信息）、检验指标趋势图及异常指标突出展示尚未提供，列入后续开发计划。
496,,,支持实时展示给审方药师，待审核处方/医嘱任务总量和分配给该药师的待审处方/医嘱任务数量。,部分响应,平台当前门诊审方工作台以列表形式展示待审处方药品。本条所述实时展示待审核任务总量及分配给当前药师的待审任务数量尚未提供，任务分配机制亦尚未建立，列入后续开发计划。
497,,,支持处方/医嘱审核历史信息的查看，包括处方/医嘱审核状态、审方药师审核意见及医生对打回处方/医嘱的处理结果。,部分响应,平台当前门诊审方工作台记录审核状态、审核意见及审核药师。本条所述审核历史查询（含审核状态、药师审核意见及医生对打回处方/医嘱的处理结果）尚未提供查看入口，医生处理结果亦尚未记录，列入后续开发计划。
498,,,支持用户自定义设置处方/医嘱明细页面展示的字段，并可设置字段排序，方便药师关注信息的优先展示。,部分响应,平台当前门诊审方工作台处方明细展示字段为固定配置。本条所述用户自定义设置明细页展示字段及字段排序的功能尚未提供，列入后续开发计划。
499,,,支持处方/医嘱审核时通过链接跳转到HIS电子病历页面。,部分响应,平台当前提供门诊审方工作台与门诊医生站电子病历页面。本条所述在处方/医嘱审核时通过链接跳转至电子病历页面的功能尚未提供，列入后续开发计划。
500,,,支持TPN药嘱计算结果展示，如渗透压、离子浓度、液体量、氨基酸浓度、葡萄糖浓度、氨基酸量、糖脂比、热氮比等（需开启TPN审查功能）。,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
501,,,支持系统审查结果快速跳转到规则设置页面。,部分响应,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
502,,,支持特殊药品标识，如静配、高警示药品、麻醉药品、精神类药品、毒性药品及放射性药品等；并可根据医院需求自定义样式标识，如易跌倒、特殊管控药品等，以实现系统间同质化展示。,部分响应,平台当前在药品字典提供抗菌药物分级属性。本条所述静配、高警示、麻醉、精神类、毒性及放射性等特殊药品标识，以及易跌倒、特殊管控药品等医院自定义样式标识尚未提供，药品字典相应属性字段亦尚未建立，列入后续开发计划。
503,,,支持特定警示信息突出展示，缩短审核时间。 处方/医嘱人工审查,部分响应,平台已提供：门诊审方工作台对患者过敏史以红色标签突出展示。尚未提供：①系统自动审查产生的警示信息记录（合理用药规则目前在开立处方时即时拦截，不形成警示记录供审方展示）；②警示分级与可配置的突出展示规则。上述缺项列入后续开发计划。
504,,,支持审方任务自动分配，并支持任务来临时自动页面消息及提示音提示；提示音模式支持设置减少打扰；,部分响应,平台当前门诊审方工作台支持手动刷新待审队列。本条所述审方任务自动分配、新任务到达时页面消息与提示音提示及减少打扰的提示音模式设置尚未提供，列入后续开发计划。
505,,,支持设置药师最大接收任务数；,部分响应,平台已提供：审方工作台待审列表条数上限参数（全局系统参数，0 表示不限）。尚未提供：①按药师维度设置最大接收任务数，当前参数为全局待审列表上限而非每位药师的任务上限；②任务分配与药师任务池机制；③参数设置界面，目前仅可在系统参数中维护。上述缺项列入后续开发计划。
506,,,支持审方药师查看待审核处方/医嘱任务总量及分配给自己的待审处方/医嘱任务；门急诊可按科室、医生、处方号进行任务筛选；住院可按病区、医嘱类型、患者号进行任务筛选；,部分响应,平台当前门诊审方工作台以列表展示全部待审处方药品。本条所述待审任务总量与个人待审任务展示，门急诊按科室、医生、处方号筛选，住院按病区、医嘱类型、患者号筛选的功能尚未提供，住院审方亦尚未提供，列入后续开发计划。
